split,series,events,months,event_mean,event_median,share_positive,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
2018,print_hedged,1271,12,-0.04905394653868952,-0.1144991999999995,0.3241542092840283,-0.054059758096215306,0.05433113010437743,-3.446799191831418,-0.13105066548190958,0.06538838352687731,-0.9950052206232268,-0.05812880485780436,-0.06305585035704453
2018,runup_straddle,1271,12,0.04137472741833762,-0.013393124065769813,0.45714285714285713,0.03648443430260965,0.05333008860786093,2.369877701205018,-0.028697089590681697,0.1341805993194347,0.6841247643686043,0.0328122641802564,0.028197316760472546
2019,print_straddle,1336,12,-0.09365861159473425,-0.15491933418693987,0.2949101796407186,-0.11437181085262334,0.06414919319504883,-6.176158342259266,-0.23677611678316385,-0.02309794560381919,-1.7829033407305703,-0.1213030663461061,-0.13169340929686857
2019,print_hedged,1336,12,-0.09469178408700045,-0.14509100357355575,0.28592814371257486,-0.11648886123800513,0.06062539628689463,-6.656109107320789,-0.23243988578383062,-0.03009292377614483,-1.9214531924335887,-0.12270298714917338,-0.13206447361972085
2019,runup_straddle,1336,12,0.027151165527544693,-0.0014619883040934978,0.49111318989710007,0.030223937964271645,0.03348662022030008,3.1265858312684167,-0.009045405177633083,0.11441079962003402,0.9025675856636451,0.028808715235909332,0.027098590023646008
2020,print_straddle,1371,12,-0.08306165481161938,-0.1183574879227054,0.27206418672501825,-0.09415391993848417,0.04121968748746593,-7.912693327178478,-0.1500790805955263,-0.027197472295206093,-2.284197811230725,-0.09668139963165401,-0.09990040286051205
2020,print_hedged,1371,12,-0.0821723863032056,-0.11195290566037738,0.26549963530269877,-0.09463722263431867,0.04154101916392633,-7.891788944465291,-0.14797669346032377,-0.02449718867835822,-2.2781632357373742,-0.09718504773021164,-0.1003847786508586
2020,runup_straddle,1371,12,-0.015184690257852011,-0.040656205420827374,0.38989513822688276,-0.0055201730197488455,0.06605276234456237,-0.28950250670517247,-0.07256736433788785,0.13885739658203802,-0.08357217508865139,-0.011166115181830416,-0.017801353045215462
2021,print_straddle,1509,12,-0.05784139292428352,-0.11267605633802824,0.314777998674619,-0.0724229867686776,0.044400913143524845,-5.650347429286219,-0.15178137189487342,-0.009553435529725821,-1.6311148046566544,-0.07542401690237088,-0.07957084269825287
2021,print_hedged,1509,12,-0.05772535954433021,-0.10464041095890417,0.3108018555334659,-0.07141443511525757,0.0414891639712357,-5.962686069028207,-0.15501436089262402,-0.014591695656288475,-1.7212792035233335,-0.07406505514483841,-0.07781897684253736
2021,runup_straddle,1509,12,-0.012680277671252186,-0.041443620645235046,0.38203125,-0.00438039178125664,0.05486108696730489,-0.2765917170658771,-0.06645890621367048,0.1165186213831498,-0.07984515115180248,-0.008325202890297034,-0.01309352970312827
2022,print_straddle,1410,12,-0.05981573664046154,-0.09978354978354981,0.29858156028368793,-0.08880779883123123,0.056623507019942926,-5.4330657982690065,-0.18750763717403693,-0.020117495354421405,-1.56839100057778,-0.09395580101765677,-0.10141266855029929
2022,print_hedged,1410,12,-0.05957661832093148,-0.09572039584053271,0.3,-0.08603242396462807,0.05359189359774269,-5.561010048404729,-0.18316328233469573,-0.023171108395621025,-1.605325324206342,-0.09064261031353726,-0.09738064554890524
2022,runup_straddle,1410,12,0.015233195894634023,-0.02297384471029784,0.4404096834264432,0.00660106743128604,0.043237545669939335,0.5288636992698037,-0.041420194437841264,0.10430541973624746,0.15266979956902124,0.004186603827815327,0.0012785359013351982
2023,print_straddle,1517,12,-0.04916794984532678,-0.1217948717948717,0.3216875411997363,-0.0691610631630669,0.05714194150918567,-4.192733818281467,-0.22896838637749092,-0.018384143823910463,-1.2103379993126264,-0.07489930651674781,-0.08508300839841054
2023,print_hedged,1517,12,-0.050967256035768446,-0.11467851851851851,0.32036914963744234,-0.07043749256872499,0.05054401010131676,-4.8275281538695545,-0.19734311567136906,-0.0078828246709729,-1.3935873395785423,-0.07461444921338933,-0.08121071739226315
2023,runup_straddle,1517,12,-0.0025473365489999213,-0.03399433427762033,0.3753046303818034,-0.003645759588357986,0.03314189259972667,-0.38106700274983724,-0.05943910694212624,0.052032314169707244,-0.1100045683084512,-0.005168484487557468,-0.007206773420408985
2024,print_straddle,1571,12,-0.08090620222178851,-0.14492753623188404,0.3297262889879058,-0.10388466286671415,0.055805903200196495,-6.4485476945628655,-0.21843423983412424,-0.04285321348608189,-1.8615353736690057,-0.10914090852104907,-0.11722682461639644
2024,print_hedged,1571,12,-0.08252562705898933,-0.1369700302760462,0.31954169318905157,-0.10551701910210338,0.05540649189290319,-6.597091131534641,-0.2110522380774239,-0.04754263237720374,-1.9044161703300089,-0.1106545977779001,-0.11842689692013375
2024,runup_straddle,1571,12,0.03506163515179999,-2.220446049250313e-16,0.49166666666666664,0.04750790953715069,0.05462811311784732,3.0125921758351075,-0.03203410324669761,0.161261789344242,0.86966045183848,0.04373629018543457,0.03905993020813514
2025,print_straddle,1603,12,-0.12630174976367758,-0.18181818181818188,0.25701809107922646,-0.15797306174492745,0.06506353430371635,-8.410774855610663,-0.2715846598210752,-0.06594872253814067,-2.4279815634900763,-0.16519318789600168,-0.17528900410807535
2025,print_hedged,1603,12,-0.12750129602251886,-0.1742796363636363,0.2626325639426076,-0.15620861687404505,0.06383289821238555,-8.477173012125895,-0.2726917258637572,-0.07102245866313031,-2.4471490602589583,-0.16327027711888364,-0.17345454609852684
2025,runup_straddle,1603,12,-0.008981161365753068,-0.02811950790861162,0.3962703962703963,-0.01366527081552113,0.03741407414505544,-1.26524276719534,-0.06891624066994428,0.05257686019949265,-0.3652441261152283,-0.015618882927386557,-0.018215657373125138
