sort,tercile,sort_mean,series,events,months,event_mean,event_median,share_positive,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
implied move,3-1,,print_hedged,,108,,,,-0.1603328635202759,0.11673354856748952,-14.273771464057026,-0.566164864120824,0.053881583068287,-1.3734942995207537,-0.1929149194162798,-0.2660691604825628
history ratio (past 4 events),1,0.3359229433356141,print_straddle,3577,96,-0.06439281090175182,-0.10769230769230753,0.29913335197092533,-0.0836975667084945,0.08565647408578213,-9.57388607628425,-0.3103667382747789,0.14815210422359787,-0.9771306559347067,-0.0969171480173514,-0.11791426208762157
history ratio (past 4 events),1,0.3359229433356141,print_hedged,3577,96,-0.06359810932753568,-0.10139321637426915,0.29633771316745877,-0.08100627089912035,0.08627104037313964,-9.200029526028054,-0.30236243854977796,0.1588153112811339,-0.9389740815545043,-0.09423784614241115,-0.11505387210973061
history ratio (past 4 events),1,0.3359229433356141,move_ratio,3577,96,0.5147987273035348,0.4220472440944858,0.9980430528375733,0.5338971103924136,0.13021619991880545,40.17243619221696,0.2579152219161381,0.9964372112794283,4.100082099810299,0.5186750918683312,0.5004666826863613
history ratio (past 4 events),2,0.5523529650604222,print_straddle,3612,96,-0.06916980879457867,-0.13097178683385585,0.312015503875969,-0.08338014083608553,0.08997403792094338,-9.079899244235978,-0.4133836896614226,0.13579435159263523,-0.9267133360108651,-0.09865439818221788,-0.12736135924904224
history ratio (past 4 events),2,0.5523529650604222,print_hedged,3612,96,-0.07083421590636056,-0.126341891197498,0.3073089700996678,-0.08497121228467751,0.08671960658860287,-9.600417765295713,-0.4176427401935012,0.11694033493852303,-0.9798385351052188,-0.09933961246066181,-0.12693878734030184
history ratio (past 4 events),2,0.5523529650604222,move_ratio,3612,96,0.5789094106185665,0.49060321591226186,0.9986157253599114,0.5954785416069335,0.14247316339267618,40.95139168612436,0.15677663182220117,0.9273243094188853,4.179583911994081,0.5758597691063447,0.5469482429385688
history ratio (past 4 events),3,0.825635438376932,print_straddle,3631,96,-0.08967493575474306,-0.15819209039548043,0.2974387221151198,-0.11413837637867318,0.08290522730521262,-13.489175111635317,-0.4268933733582054,0.09238925140161065,-1.376733169773202,-0.1281652650079067,-0.15556338488724653
history ratio (past 4 events),3,0.825635438376932,print_hedged,3631,96,-0.0892675582302119,-0.14965053763440872,0.29854034701184246,-0.11194132604756525,0.08211746035061131,-13.356434978691704,-0.4275934679171382,0.11836152257433856,-1.3631854366856577,-0.1256135114500987,-0.152639902980645
history ratio (past 4 events),3,0.825635438376932,move_ratio,3631,96,0.6071051522816372,0.5222222222222195,0.998347562654916,0.6007266189417086,0.11829686656353966,49.75528884441501,0.228653153138701,0.9440718691463962,5.0781279030670365,0.5865446882912448,0.5642025408931064
history ratio (past 4 events),3-1,,print_straddle,,96,,,,-0.030440809670178648,0.09632327128615129,-3.0964251962583815,-0.40228334139987826,0.297218855689941,-0.31602757323042896,-0.04713645074434136,-0.08266936949580794
history ratio (past 4 events),3-1,,print_hedged,,96,,,,-0.030935055148444895,0.09561919263053895,-3.16986990556733,-0.36066205372148885,0.3141544924394854,-0.32352349248517737,-0.04655350181001372,-0.07574714245230196
iv rise into print,1,0.00782101509934221,print_straddle,3389,108,-0.030292530248509544,-0.0892857142857143,0.3402183534966067,-0.040869723552072225,0.09281629017339722,-4.5760353630535,-0.33300386800246606,0.19951320317923968,-0.4403292081133642,-0.05586189237836736,-0.08125029887318092
iv rise into print,1,0.00782101509934221,print_hedged,3389,108,-0.029747091588605435,-0.08442522522522519,0.3425789318383004,-0.03884144843636105,0.09142447650247656,-4.41514338643361,-0.3122247995875515,0.24970441999019938,-0.4248473704447068,-0.05276783294128007,-0.07471160513085107
iv rise into print,1,0.00782101509934221,move_ratio,3389,108,0.5668920576272739,0.47322834645669254,0.9988197108291531,0.5836757785477156,0.147616067226468,41.091303511330636,0.2889411338310403,1.0542858159055326,3.9540125239365596,0.5644096681924631,0.5408918473527995
iv rise into print,2,0.13198685281203337,print_straddle,3421,108,-0.07270694954213476,-0.14010507880910683,0.2993276819643379,-0.0912149175260118,0.09730339182203762,-9.742036856364264,-0.3952721369195459,0.23123441126888306,-0.9374279335795273,-0.10803478605163841,-0.13534655972665166
iv rise into print,2,0.13198685281203337,print_hedged,3421,108,-0.0747991659971676,-0.13241278140885962,0.2943583747442268,-0.09340406134148099,0.09186331479072442,-10.566606283168458,-0.3905859472926577,0.21019490436117932,-1.0167721636680167,-0.10863390740660894,-0.1338912302387978
iv rise into print,2,0.13198685281203337,move_ratio,3421,108,0.583090093292349,0.4936936936936956,0.997076878105817,0.5887397821961269,0.12787383135186553,47.84687552192515,0.23130113176775208,1.131596290644503,4.604067743744333,0.5739908104228812,0.5544651106185849
iv rise into print,3,0.3158430731996661,print_straddle,3458,108,-0.1349424814380874,-0.2001381215469613,0.2625795257374205,-0.15289209944400445,0.08571781689066667,-18.536418256008343,-0.4603327099000293,0.11580180850380338,-1.7836676783196517,-0.16755325704130464,-0.1941646842384599
iv rise into print,3,0.3158430731996661,print_hedged,3458,108,-0.13496752728077574,-0.1947210810341836,0.25708502024291496,-0.15188288245094414,0.0868663954246998,-18.170584925427562,-0.45192429950552626,0.17054714776355126,-1.7484653496714264,-0.16676546341056253,-0.19334115321323553
iv rise into print,3,0.3158430731996661,move_ratio,3458,108,0.5919932301454742,0.5091128768264745,0.9982648930017352,0.5972278163958253,0.1154487397231969,53.76042687886392,0.3081453444685288,1.0770647214796134,5.173099488376879,0.5851656490481281,0.5694397069170305
iv rise into print,3-1,,print_straddle,,108,,,,-0.11202237589193222,0.11420003840052127,-10.194135624486087,-0.4180461537867917,0.25853720870934593,-0.9809311578254327,-0.1366408006916382,-0.17820473403191783
iv rise into print,3-1,,print_hedged,,108,,,,-0.11304143401458308,0.11918727850403373,-9.8564297900506,-0.4349462540851564,0.2677960865210333,-0.9484353987557267,-0.14146766698840663,-0.1929528762756464
iv level at entry,1,0.27417465901018234,print_straddle,4223,108,-0.0009355045986553324,-0.07792207792207784,0.36395927066066774,-0.01022946261201471,0.090401635624964,-1.175948788248007,-0.24889787061218702,0.3202502238626489,-0.11315572490803352,-0.0227173428288574,-0.04049177462771092
iv level at entry,1,0.27417465901018234,print_hedged,4223,108,-0.00012071359319774007,-0.07336150427350419,0.36443286762964716,-0.00853620968472562,0.08886898581031706,-0.9982210605776822,-0.22696535908209478,0.32165450791265193,-0.09605386633921309,-0.020261529744480034,-0.03640921457341084
iv level at entry,1,0.27417465901018234,move_ratio,4223,108,0.5671678970604787,0.4533678756476694,0.9978688136395927,0.5857244122158448,0.1388081933679951,43.85207025215156,0.35482988039524527,1.1533451706636406,4.219667427433681,0.5697076827642948,0.5519169607520318
iv level at entry,2,0.37470287106622835,print_straddle,4258,108,-0.06183733395049517,-0.1305075698757765,0.3116486613433537,-0.08074852555250335,0.08707696503062838,-9.637029644568925,-0.366134258708979,0.14648989531216777,-0.9273236099133787,-0.09545735868201854,-0.1225213423175806
iv level at entry,2,0.37470287106622835,print_hedged,4258,108,-0.0625667540338589,-0.12228105729507008,0.31000469704086425,-0.08030015942673276,0.08535097820694935,-9.777318941494526,-0.36636478579731574,0.10733030791650928,-0.9408229538041152,-0.09431322031353573,-0.11964777438322294
iv level at entry,2,0.37470287106622835,move_ratio,4258,108,0.5892149820372786,0.5036129245127366,0.9988257397839361,0.6089732889805484,0.12467470141692244,50.761188836830065,0.3231652368487504,0.9745220963402457,4.884497673221544,0.5947380577002381,0.5758500891747211
iv level at entry,3,0.5624637601767853,print_straddle,4299,108,-0.16274199987060428,-0.20772946859903396,0.23470574552221446,-0.18647698615004768,0.086895862977202,-22.301702524476188,-0.4523033856958225,-0.01685925737242927,-2.1459823259822137,-0.20246411302125367,-0.22982224829085118
iv level at entry,3,0.5624637601767853,print_hedged,4299,108,-0.1633065016055433,-0.2043625507246377,0.2291230518725285,-0.18745807717038734,0.08572355004740963,-22.72562770221551,-0.4535174945715233,-0.033043795538429135,-2.186774545229557,-0.2031468041097224,-0.23037006957102368
iv level at entry,3,0.5624637601767853,move_ratio,4299,108,0.5507900728727119,0.47932203389830463,0.9981391021167714,0.550243987049734,0.11033239342448552,51.8279634411287,0.2815280007735232,0.8496049114203303,4.987148107380956,0.5383091141463527,0.5217667767488599
iv level at entry,3-1,,print_straddle,,108,,,,-0.17624752353803294,0.10989312168599345,-16.66726692949918,-0.5200217151021408,0.11086407336734921,-1.60380850806695,-0.20298192489716482,-0.25457793012036356
iv level at entry,3-1,,print_hedged,,108,,,,-0.1789218674856618,0.11026054027315094,-16.863789945299317,-0.6414753362981698,0.0582159215312299,-1.6227189440793106,-0.21060388088559467,-0.3096620800028912
