date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,net_pnl_25,net_pnl_50
2022-07-01,-16996.063427793822,-23210.47619047618,213522.3052873962,119.80665043484132,42,208,0.4308476190476191,0.1487893284046536,0.0,-58278.949715308656,867253.1439988185,-6186.01710003597,-10810.046327757855,-70496.44640007771,-123877.02272192675
2022-07-05,-8611.554412424526,-5936.136363636351,197173.6781957714,112.79722529596711,44,215,0.4685948863636364,0.11306873488597584,2.2737367544323206e-13,-28069.69114584461,942351.6441071932,-8713.138675672944,101.58426324841797,-58017.77118666335,-107311.1907356062
2022-07-06,2777.6840795470343,5302.222222222223,204813.5026106427,116.54786829337397,90,445,0.43189444444444447,0.1188536179166829,-2.842170943040401e-14,-105661.82235278645,871239.50551826,-9229.980285929467,12007.664365476501,-48542.239441407015,-99745.61509406769
2022-07-07,12275.801730514597,10714.545454545438,193557.15239506733,113.4492375391126,88,431,0.4396925,0.11291976071712569,5.684341886080802e-14,10027.42647463033,885447.512861387,-11038.373448995724,23314.17517951032,-36226.93560579135,-84616.22370455819
2022-07-08,5955.015465655775,-2100.4545454545514,197257.29548838412,124.2930609101541,88,431,0.414390625,0.13263865069259143,-1.1368683772161603e-13,-139289.4430673215,834403.7139574848,396.90989135497733,5558.105574300798,-43483.6014673504,-92797.92533944645
2022-07-11,-1432.8218608492605,-4606.666666666667,220083.5103172121,114.25968338288928,90,444,0.41922333333333334,0.12473710315305758,-2.842170943040401e-14,-39028.858832648606,845937.976697475,7309.316200343744,-8742.138061193004,-56567.95912353517,-111588.83670283819
2022-07-12,-40.77760999140099,-2719.6590909091033,227739.04148901714,137.95756957155453,88,436,0.4434833522727273,0.13546394936699835,5.684341886080802e-14,-114901.98774364317,894296.2502584145,-7595.557746232025,7554.7801362406235,-57113.49555181724,-114048.25592407153
2022-07-13,360.27073456635645,157.95454545454976,235634.57753084562,132.75501952325578,88,433,0.4042227272727273,0.13981322559164555,-5.684341886080802e-14,24847.053205230623,814280.3989603677,653.5972250814883,-293.32649051513175,-58681.1286676683,-117589.77305037972
2022-07-14,5352.6241868878515,4047.777777777779,230800.53584256922,122.21117139309777,90,441,0.4202883333333333,0.14070807110893196,1.9895196601282805e-13,-105878.94392095708,846830.271932481,-7860.87409980549,13213.49828669334,-52469.72094514756,-110169.85490578985
2022-07-15,1910.1843784654977,-3753.409090909092,226216.51870257806,103.88368995915775,88,437,0.40729772727272723,0.1502132470834964,-1.9895196601282805e-13,-168098.21153778207,820990.5025249306,-6069.396258784032,7979.58063724953,-54747.82898713817,-111301.9586627827
