date,gross_pnl,vega_pnl,spread_cost_full,hedge_cost,positions,names_today,mean_iv,mean_relative_spread,net_vega,net_hedge_notional,gross_premium,long_pnl,short_pnl,unmarked_share,one_sided_mark_share,net_pnl_25,net_pnl_50
2021-01-11,3040.3260672486113,4022.222222222225,246124.69061456597,100.25502432958145,90,450,0.39015500000000003,0.15444937115155222,0.0,-92999.27373013433,786160.5237852989,571.6147561027697,2468.7113111458416,0.0,0.0,-58591.101610722464,-120122.27426436396
2021-01-12,10537.300615748802,12333.999999999998,266664.02090757625,115.87142639082678,90,446,0.4040553333333334,0.16870577860645247,-2.2737367544323206e-13,-26382.67959048563,815768.3656817279,-5296.093541657734,15833.394157406537,0.0,0.0,-56244.57603753609,-122910.58126443016
2021-01-13,7138.353309395222,3026.6666666666715,263838.6236464226,116.99981511234438,90,446,0.39383277777777775,0.17431885412324982,-2.2737367544323206e-13,-39551.23014501437,795829.9404633391,7907.469881819109,-769.116572423887,0.0,0.0,-58938.30241732277,-124897.9583289284
2021-01-14,10594.022874427501,5903.3333333333385,269998.8694278928,125.53995468134484,90,450,0.40051000000000003,0.16751237097404056,1.7053025658242404e-13,-193665.03862807958,811140.2522639154,-245.7158730995495,10839.73874752705,0.0,0.0,-57031.23443722704,-124530.95179420024
2021-01-15,5771.63203918952,1592.222222222234,217283.77828295185,122.40382488772788,90,441,0.39725611111111114,0.1532294953711213,0.0,-160369.79387702452,802424.9436236705,-12402.784362441202,18174.416401630722,0.0,0.0,-48671.71635643617,-102992.66092717415
2021-01-19,14486.238809687857,13647.777777777781,189889.6542621203,123.05684522516566,90,449,0.388715,0.12423012075748295,2.842170943040401e-14,-77882.48500564708,785535.1294213398,3500.742232518738,10985.496577169119,0.0,0.0,-33109.23160106739,-80581.64516659746
2021-01-20,9152.897635013518,7126.086956521748,172385.235309918,121.76761209559244,92,452,0.3932880434782609,0.11982608096832541,5.684341886080802e-14,-24469.308413303443,795054.4448066683,5177.589986440248,3975.30764857327,0.010869565217391304,0.0,-34065.178804561576,-77161.48763204107
2021-01-21,1304.2709925060542,4395.652173913047,170118.7405939246,128.10359894503893,92,454,0.3930217391304348,0.10677502159236003,5.684341886080802e-14,-62680.064523368594,794067.4403778109,-963.2854028591906,2267.556395365245,0.0,0.0,-41353.51775492013,-83883.20290340128
2021-01-22,9480.904885050162,3556.304347826083,170386.60704719566,129.69726191307765,92,452,0.38848467391304353,0.12327434557246496,-1.7053025658242404e-13,-226607.10517634943,786682.326792191,13110.04909746268,-3629.144212412517,0.0,0.0,-33245.44413866183,-75842.09590046076
2021-01-25,6428.757992816185,4078.4090909090874,275905.2902484739,148.91875581178974,88,439,0.4175857954545455,0.14769868179560042,-8.526512829121202e-14,-105481.91247015604,847522.2772479254,6625.499428976743,-196.7414361605588,0.0,0.0,-62696.48332511407,-131672.80588723253
2021-01-26,23053.703904629427,22202.27272727273,457702.7318765363,147.35748685595829,88,437,0.4245005681818182,0.18412969213280903,5.684341886080802e-14,-106757.73273931126,861382.7807767176,89996.7093720277,-66943.00546739827,0.0,0.0,-91519.3365513606,-205945.01952049468
2021-01-27,34331.10712677037,44111.388888888905,442470.5082384941,132.70830104647885,72,354,0.4480544444444445,0.2670272373395448,0.0,82149.75461432312,902925.8487452023,-2488.852144797027,36819.95927156739,0.0,0.0,-76419.22823389964,-187036.85529352317
2021-01-28,43848.76962080308,39489.99999999999,461620.38946530095,163.91951196230724,80,391,0.440125,0.2495600838837176,2.842170943040401e-14,-348660.21562478907,894626.8259130755,25635.356076960583,18213.413543842504,0.0,0.0,-71720.24725748446,-187125.3446238097
2021-01-29,27221.77566850422,22207.894736842092,446287.4573753792,166.8158124006601,76,378,0.4438934210526316,0.2536620514297377,0.0,-202242.83983965704,901925.4668453425,-21699.072753767414,48920.848422271636,0.0,0.0,-84516.90448774124,-196088.76883158606
2021-02-01,16520.181074384727,14788.63636363637,366393.1409965073,89.04356150561996,44,213,0.4123125,0.23115987972998753,-3.979039320256561e-13,-75753.49102960997,827919.1590054646,-22832.623185092638,39352.804259477365,0.0,0.0,-75167.14773624772,-166765.43298537456
