label,filters,holding_days,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
60d expiry oi>=250 no-earn cost=0,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,66,11.2,164,1401.5279215713135,2.8141387544976504,7066.7566187967695,3.148341907908211,229850.5791376957,33897.3342295234,0.573170731707317,229850.57913769543,0.0,NaN
60d expiry oi>=250 no-earn cost=0.5,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,66,11.2,164,610.4694665767306,1.0748651608687767,7204.899992694845,1.3450432843186537,100116.99251858381,53958.16018055781,0.4695121951219512,229850.57913769543,129733.58661911165,0.8858561037571557
90d expiry oi>=25 cost=0,vega>=5 & px>=10 & oi>=25,21,211,25.8,211,262.07257104830535,1.8331352450568406,3621.9801878184485,1.1486184006921645,55297.31249119246,21758.534890643896,0.5734597156398105,55297.31249119248,0.0,NaN
90d expiry oi>=25 cost=0.5,vega>=5 & px>=10 & oi>=25,21,211,25.8,211,-491.4321888751393,-2.9814354688731535,3673.3625977454835,-2.1237337563360725,-103692.1918526544,108604.2180264129,0.4218009478672986,55297.31249119248,158989.50434384687,0.17390239915334565
90d expiry oi>=25 no-earn cost=0,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,33,10.4,165,941.3064061231219,2.758569084612698,6506.722315899574,2.2965135475612506,155315.557010315,34509.81594984271,0.5757575757575758,155315.55701031504,0.0,NaN
90d expiry oi>=25 no-earn cost=0.5,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,33,10.4,165,-77.38924405676966,-0.16559434435810666,6828.156015532719,-0.17991917008901692,-12769.225269366949,73402.61596547111,0.4909090909090909,155315.55701031504,168084.78227968203,0.4620155224756759
90d expiry oi>=100 cost=0,vega>=5 & px>=10 & oi>=100,21,211,18.6,211,213.66309139725013,1.2072860358581996,4319.092697640808,0.7853029936113686,45082.912284819766,31651.159912048242,0.5260663507109005,45082.91228481979,0.0,NaN
90d expiry oi>=100 cost=0.5,vega>=5 & px>=10 & oi>=100,21,211,18.6,211,-430.4387093576212,-2.2359479245774647,4351.765348401001,-1.5701679963525508,-90822.56767445809,96250.56400021736,0.4312796208530806,45082.91228481979,135905.4799592779,0.16586127468269943
90d expiry oi>=100 no-earn cost=0,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,25,8.1,160,1251.936348432918,2.8698178544687027,6807.604182881911,2.9193638286710013,200309.81574926688,41002.979537747684,0.55,200309.8157492669,0.0,NaN
90d expiry oi>=100 no-earn cost=0.5,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,25,8.1,160,369.0042325258735,0.8337268325738971,7105.433633005137,0.8244057849970832,59040.67720413976,86394.44979610736,0.4875,200309.8157492669,141269.13854512715,0.7089652340637717
90d expiry oi>=250 cost=0,vega>=5 & px>=10 & oi>=250,21,209,12.9,209,170.90582739137275,0.7355316365566036,4726.571947081613,0.5739986467382494,35719.31792479691,49050.758758887576,0.5358851674641149,35719.31792479692,0.0,NaN
90d expiry oi>=250 cost=0.5,vega>=5 & px>=10 & oi>=250,21,209,12.9,209,-413.5513641143323,-1.767384930418573,4757.176967913085,-1.3800042392932501,-86432.23509989554,91954.9774738187,0.44019138755980863,35719.31792479692,122151.55302469234,0.14620902084468967
90d expiry oi>=250 no-earn cost=0,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,12,7.5,152,231.63464343936653,0.40402921523164065,8452.836966745172,0.43501205380777475,35208.46580278375,106488.18597531632,0.506578947368421,35208.46580278373,0.0,NaN
90d expiry oi>=250 no-earn cost=0.5,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,12,7.5,152,-599.658576270485,-1.0906877259689025,8710.221579561077,-1.0928866388990603,-91148.10359311374,158667.8822230273,0.47368421052631576,35208.46580278373,126356.56939589744,0.13932186498538665
120d expiry oi>=25 cost=0,vega>=5 & px>=10 & oi>=25,21,210,22.5,211,371.66637892170843,2.096484110929073,3092.910902025173,1.90759483307496,78421.6059524805,20823.993377883176,0.5829383886255924,78421.60595248052,0.0,NaN
120d expiry oi>=25 cost=0.5,vega>=5 & px>=10 & oi>=25,21,210,22.5,211,-227.94417862610428,-1.1545819271007332,3130.730481083126,-1.155801075359723,-48096.221690107996,54711.78287134723,0.41706161137440756,78421.60595248052,126517.82764258856,0.3099231444837192
120d expiry oi>=100 cost=0,vega>=5 & px>=10 & oi>=100,21,204,15.8,211,412.9600104113386,2.4619083015810537,3409.136150006982,1.9229319819816673,87134.5621967925,22005.78799466161,0.5687203791469194,87134.56219679248,0.0,NaN
120d expiry oi>=100 cost=0.5,vega>=5 & px>=10 & oi>=100,21,204,15.8,211,-134.20231112421817,-0.7445987829485955,3436.310910750791,-0.6199659166356764,-28316.68764721005,40398.62740147966,0.44075829383886256,87134.56219679248,115451.24984400251,0.3773651749744092
120d expiry oi>=250 cost=0,vega>=5 & px>=10 & oi>=250,21,166,11.7,211,359.7551614895491,2.128794868593044,3735.3147695929238,1.5289035846533887,75908.33907429491,26730.30264039129,0.5308056872037915,75908.33907429493,0.0,NaN
120d expiry oi>=250 cost=0.5,vega>=5 & px>=10 & oi>=250,21,166,11.7,211,-96.8049771615767,-0.6518351260960599,3733.8319866332617,-0.4115695020446174,-20425.850181092705,40360.23337557037,0.41706161137440756,75908.33907429493,96334.18925538758,0.39398441851759125
