decile,straddle,call_hedged,put_hedged,daily_hedged,signal
9,0.030258464559901742,0.00008623745280679073,0.0007285390856509504,0.011836591180602556,rv21: log(21d realized vol / IV)
10,0.022843517946342057,0.0009767603755978578,0.001517117148516032,0.004178373028924875,rv21: log(21d realized vol / IV)
1,0.03886845328460312,-0.0006683375263443162,0.0015425487388450077,-0.0023162549726669437,"hv252: log(12m realized vol / IV), the paper"
2,0.05445173980482929,0.0013053923837822129,0.0018398816847373677,0.011442665804864393,"hv252: log(12m realized vol / IV), the paper"
3,0.014576563444913137,-0.0019096321600983544,-0.0011668881325509067,0.00596433980547357,"hv252: log(12m realized vol / IV), the paper"
4,0.03935370920664214,0.0007870158787247738,0.0015925341395606678,0.022035454412439447,"hv252: log(12m realized vol / IV), the paper"
5,0.009069597806258316,-0.0007220235845237842,0.0001773529518989198,0.01808928994515252,"hv252: log(12m realized vol / IV), the paper"
6,0.03389062535568391,-0.0001446780199119546,0.0010012829541544528,0.01683252854268988,"hv252: log(12m realized vol / IV), the paper"
7,0.05865410777073988,0.0011844304574868234,0.0016777068688020973,0.020657311457474018,"hv252: log(12m realized vol / IV), the paper"
8,0.050164061900433314,0.001878950603538479,0.0019176093221094914,0.007510929460220078,"hv252: log(12m realized vol / IV), the paper"
9,0.032703129225070994,0.0011221910000894487,0.001329497132975894,0.014011704075304587,"hv252: log(12m realized vol / IV), the paper"
10,0.03696336976146818,0.0026331589381798992,0.0025450022243222762,0.00964207218522739,"hv252: log(12m realized vol / IV), the paper"
1,0.026898498203847158,-0.0005624739079364492,0.001371252447333557,-0.00031150861305196043,idio: -idiosyncratic vol (Cao-Han)
2,0.015830469662139048,-0.0013552772480226126,0.00071027814588653,0.005218631265860651,idio: -idiosyncratic vol (Cao-Han)
3,0.04020780659247697,0.00016947983128368958,0.0012645096291182055,0.024994868520297385,idio: -idiosyncratic vol (Cao-Han)
4,0.012511635506972062,-0.00008185274110959638,0.0002713952675740065,0.0100859589028927,idio: -idiosyncratic vol (Cao-Han)
5,0.009473386935348875,-0.0016361689588824924,-0.0006477376018890363,0.0073998740168157405,idio: -idiosyncratic vol (Cao-Han)
6,0.047148332523209054,0.0012694007772265474,0.002184436131546562,0.012529509942095417,idio: -idiosyncratic vol (Cao-Han)
7,0.06375259692418218,0.0029688322538619894,0.003485866603697139,0.020522270042829683,idio: -idiosyncratic vol (Cao-Han)
8,0.03462844016836856,0.0006926421144650316,0.000920631054506861,0.012870404595783607,idio: -idiosyncratic vol (Cao-Han)
9,0.06778196258568622,0.0023474505759685143,0.0018576407745053937,0.007799010137766753,idio: -idiosyncratic vol (Cao-Han)
10,0.05042365389258579,0.0015952842621627429,0.0010079576431442927,0.02316559440897744,idio: -idiosyncratic vol (Cao-Han)
1,0.03677244215383776,0.00022874589781001606,0.001711988306071686,0.01633638102961579,har_only: -forecast vol
2,0.017933970830342347,-0.0009776252393246289,0.0004503664980858381,0.0068317391263628974,har_only: -forecast vol
3,0.028105287114587006,-0.0005584755453773874,0.0007672984571245036,0.009658683738172268,har_only: -forecast vol
4,0.038392142904720976,0.0011284767437659917,0.0022288605865556418,0.010145230270802094,har_only: -forecast vol
5,0.054207003396524,0.001666870166180287,0.002091311800624875,0.022098240493381903,har_only: -forecast vol
6,0.03054470886701459,0.00020804910971758183,0.0008988742650496345,0.008583293017302757,har_only: -forecast vol
7,0.05416247448723119,0.0016947456798788875,0.0021884701771686466,0.01058978133617014,har_only: -forecast vol
8,0.03650639636488188,0.0009426646596448467,0.0010179124336534967,0.0050650058744895156,har_only: -forecast vol
9,0.05453067900827949,0.0018081965445595153,0.00131354001326238,0.014858683184906412,har_only: -forecast vol
10,0.020329541667778377,-0.0001506652761572555,0.0001323325551774679,0.021654032065101064,har_only: -forecast vol
