date,option_pnl,hedge_pnl,cost,gross_pnl,total_pnl,long_pnl,short_pnl,gross_vega,n_positions
2025-04-01,-4728.887762977375,-1087.8374783035272,0.0,-5816.725241280902,-5816.725241280902,-6574.666500710838,757.9412594299363,145462.5745300398,327
2025-04-02,-9049.20759529405,2166.0686219100457,0.0,-6883.138973384006,-6883.138973384006,-7041.618044296093,158.47907091208873,159897.00836552883,340
2025-04-03,24113.614782025707,-43052.58072446663,0.0,-18938.96594244092,-18938.96594244092,68275.79652359462,-87214.76246603554,139300.5884475939,353
2025-04-04,33555.675038393114,-17347.70793408947,0.0,16207.967104303641,16207.967104303641,74160.1069032474,-57952.13979894377,103865.68530864448,342
2025-04-07,-12105.193809003556,7318.890031022486,0.0,-4786.30377798107,-4786.30377798107,-1641.6249677440462,-3144.6788102370238,94928.44176059804,320
2025-04-08,26021.18828202571,-20503.237923013676,0.0,5517.950359012037,5517.950359012037,7604.806882362804,-2086.856523350767,81089.37741116447,320
2025-04-09,-57823.1683504492,39082.83184239584,0.0,-18740.33650805337,-18740.33650805337,-34362.9137077973,15622.57719974393,101703.75020021187,320
2025-04-10,21688.046072594647,-11039.683029994709,0.0,10648.363042599938,10648.363042599938,32996.009402330084,-22347.646359730148,84665.56155678131,320
2025-04-11,-18073.088247645184,15241.828768326515,0.0,-2831.2594793186704,-2831.2594793186704,-14313.337090223193,11482.07761090452,78243.5542252896,320
2025-04-14,8749.567705328278,-3332.11757118909,0.0,5417.450134139189,5417.450134139189,-14313.4341204368,19730.884254575987,59331.58856438883,309
2025-04-15,4494.052282661403,-6843.860727893999,0.0,-2349.8084452325943,-2349.8084452325943,-10372.625617808173,8022.817172575578,71277.38002824575,352
2025-04-16,7166.870187181816,2169.885110511883,0.0,9336.755297693699,9336.755297693699,13182.85422911591,-3846.0989314222115,80080.71173114915,354
2025-04-17,6720.983487107752,-10073.85338119615,0.0,-3352.8698940883996,-3352.8698940883996,-7733.7859139626125,4380.916019874215,88903.03417944691,353
2025-04-21,22917.30406966914,-12112.352533788713,0.0,10804.951535880424,10804.951535880424,9493.446401359452,1311.5051345209713,88840.35330241459,263
2025-04-22,-16279.667612193587,7910.257601686078,0.0,-8369.410010507507,-8369.410010507507,-12821.033407830142,4451.6233973226335,86185.21127405191,262
2025-04-23,-16306.791920307209,14812.192695765916,0.0,-1494.5992245412917,-1494.5992245412917,-1907.5618583898786,412.9626338485869,103531.35631166032,297
2025-04-24,-5688.615936181423,15815.69485205327,0.0,10127.078915871847,10127.078915871847,1317.3213406250431,8809.757575246804,110316.61591066515,337
2025-04-25,2212.835053913102,-6384.600203260312,0.0,-4171.765149347211,-4171.765149347211,-3127.32429664981,-1044.4408526974003,100228.30101747277,325
2025-04-28,3670.247790679429,-2264.5424788522355,0.0,1405.705311827193,1405.705311827193,-1547.2283530958255,2952.9336649230186,107622.05766471625,288
2025-04-29,23.10169329874647,-2252.7513471597676,0.0,-2229.6496538610213,-2229.6496538610213,-4251.581389486748,2021.9317356257263,101248.44483185117,288
2025-04-30,7077.099458371595,1548.2979446719335,0.0,8625.397403043527,8625.397403043527,4160.442485416077,4464.954917627451,94631.92192627616,288
2025-05-01,-10069.820820647228,3674.451541530463,0.0,-6395.369279116765,-6395.369279116765,-4380.317074410818,-2015.0522047059462,86883.61908029494,288
2025-05-02,6143.105717879973,-2704.1540589498213,0.0,3438.951658930152,3438.951658930152,-980.6195299163937,4419.571188846546,93152.30952405318,288
2025-05-05,-2340.4210660385397,1443.3245858267928,0.0,-897.0964802117471,-897.0964802117471,-3709.0580321739076,2811.9615519621607,82788.2715775249,275
2025-05-06,10691.27214594095,-6211.027966880946,0.0,4480.244179060003,4480.244179060003,2479.3493904167,2000.894788643303,80642.57326543477,275
2025-05-07,-6034.504711782073,547.8707927233307,0.0,-5486.633919058741,-5486.633919058741,-5839.662821113247,353.02890205450575,71437.39872594627,275
2025-05-08,-4277.298402661874,-454.9313118059482,0.0,-4732.229714467822,-4732.229714467822,1875.4197299202935,-6607.649444388116,82985.19698529113,286
2025-05-09,-17780.27532629088,7483.16381455981,0.0,-10297.111511731071,-10297.111511731071,-4983.330975465803,-5313.780536265267,74183.6794332346,286
2025-05-12,-20740.42629635292,5298.187404096283,0.0,-15442.238892256642,-15442.238892256642,5957.268248274741,-21399.50714053138,69620.00075103593,299
2025-05-13,57747.37477667723,-26738.44224570132,0.0,31008.932530975904,31008.932530975904,34081.36250548745,-3072.429974511545,58703.633955819976,299
2025-05-14,36229.0272424056,-37466.01630987608,0.0,-1236.9890674704811,-1236.9890674704811,4325.868015805394,-5562.857083275875,50425.53847452408,299
2025-05-15,-11539.746560669213,11037.307798777667,0.0,-502.43876189154867,-502.43876189154867,-5907.580047836994,5405.141285945446,64222.81479375969,297
2025-05-16,20465.42214462926,-6334.920265369549,0.0,14130.501879259713,14130.501879259713,7460.831279661166,6669.670599598547,75167.13256611898,296
2025-05-19,-7606.324956515946,7552.3860484990855,0.0,-53.93890801686038,-53.93890801686038,-1624.355316516401,1570.4164084995405,87244.53654227158,190
2025-05-20,-7149.686649833069,8099.989381303292,0.0,950.3027314702225,950.3027314702225,532.354960684419,417.94777078580364,104473.90616216126,241
2025-05-21,10028.731558738951,1248.9341705640513,0.0,11277.665729303004,11277.665729303004,4594.569326508779,6683.096402794224,119773.10345208868,296
2025-05-22,6741.551321380249,-4773.674062943064,0.0,1967.877258437185,1967.877258437185,-3239.638579258399,5207.515837695584,133023.82930050773,344
2025-05-23,-11947.30169186532,7474.962270818901,0.0,-4472.339421046418,-4472.339421046418,-1907.622633496148,-2564.7167875502696,143652.73327544294,397
2025-05-27,11577.392997214216,-11833.550755522894,0.0,-256.1577583086793,-256.1577583086793,-2460.352100002143,2204.194341693464,145065.88030955254,453
2025-05-28,-977.8099723808953,2161.165383908997,0.0,1183.3554115281013,1183.3554115281013,4042.093338593672,-2858.73792706557,157090.28171904435,502
2025-05-29,7098.510631454323,257.62100666083774,0.0,7356.131638115161,7356.131638115161,-6312.525461359482,13668.657099474642,168136.1664686552,553
2025-05-30,-49.04443452041414,4957.105583465112,0.0,4908.061148944698,4908.061148944698,4957.250484312715,-49.18933536801701,175340.38416297996,568
2025-06-02,-2019.9085450384555,148.44486684054942,0.0,-1871.4636781979063,-1871.4636781979063,-7283.87102430975,5412.407346111843,172110.71260593107,570
2025-06-03,12547.72488523848,-14753.965204022574,0.0,-2206.2403187840932,-2206.2403187840932,-1216.3839422843462,-989.856376499747,164190.35020389495,570
2025-06-04,2798.1696033530898,-636.2809658831328,0.0,2161.888637469957,2161.888637469957,350.22297448258837,1811.6656629873683,157706.07286663863,570
2025-06-05,-18228.273958054713,21099.68035842919,0.0,2871.4064003744747,2871.4064003744747,3707.646054081663,-836.2396537071883,148088.93885603076,570
2025-06-06,5645.7690562314965,-7867.33368203068,0.0,-2221.564625799183,-2221.564625799183,-5745.05843309969,3523.4938073005064,136374.26223689993,570
2025-06-09,-206.94011693681878,1463.5326291880808,0.0,1256.5925122512615,1256.5925122512615,-3205.927792151198,4462.520304402459,134640.3471002371,557
2025-06-10,-18826.663457382794,8935.543242194968,0.0,-9891.120215187826,-9891.120215187826,-810.2759766177833,-9080.844238570042,126432.9473619487,557
2025-06-11,1309.3065195268289,1158.0678153456483,0.0,2467.3743348724765,2467.3743348724765,-202.6167531706189,2669.9910880430957,118964.12444419312,557
2025-06-12,-15276.490459186192,9274.815028012144,0.0,-6001.67543117405,-6001.67543117405,-5144.271631256234,-857.4037999178156,123123.14110748064,596
2025-06-13,4034.9320022093652,2453.253589416726,0.0,6488.185591626092,6488.185591626092,7042.735377891004,-554.5497862649125,132854.09288465494,639
2025-06-16,7542.259124317284,-5035.012693137405,0.0,2507.246431179878,2507.246431179878,-478.46463523729045,2985.7110664171682,124811.25518853951,622
2025-06-17,5056.2685492614,-2529.3715478013787,0.0,2526.8970014600213,2526.8970014600213,3195.1416292188164,-668.2446277587957,132397.8953707897,660
2025-06-18,17200.65868910846,-5508.510816515712,0.0,11692.147872592746,11692.147872592746,6823.767834152409,4868.380038440338,134976.37870829436,706
2025-06-20,11417.285521382197,-5163.9294672526075,0.0,6253.35605412959,6253.35605412959,-2048.364141891213,8301.720196020802,132621.68402513876,732
2025-06-23,-2120.5693074717165,4388.8217854445675,0.0,2268.2524779728515,2268.2524779728515,-4342.48628614399,6610.738764116841,131881.5072649017,508
2025-06-24,18667.008446339285,-14739.396610093172,0.0,3927.611836246112,3927.611836246112,2011.7899164031078,1915.8219198430043,143587.7292418969,555
2025-06-25,29616.64454067915,-24020.48045401033,0.0,5596.164086668822,5596.164086668822,4005.968915075695,1590.195171593127,153296.22460850212,602
2025-06-26,26680.52186717084,-21448.805600359956,0.0,5231.716266810886,5231.716266810886,2420.650414517719,2811.065852293166,163295.0149135428,649
2025-06-27,-27478.85665065786,19416.470182362642,0.0,-8062.386468295221,-8062.386468295221,-679.9931802309719,-7382.393288064249,169528.40543356913,647
2025-06-30,13905.557064306771,-8868.852159382419,0.0,5036.7049049243515,5036.7049049243515,-2663.960353990817,7700.665258915169,169377.8121529312,614
2025-07-01,-24971.4718510498,21825.827714301984,0.0,-3145.6441367478164,-3145.6441367478164,6089.646147728027,-9235.290284475845,155652.0398076451,614
2025-07-02,10501.21910155983,-7278.9727549823565,0.0,3222.2463465774717,3222.2463465774717,7549.12298285648,-4326.876636279008,162283.083973863,625
2025-07-03,8549.897435211418,-8446.218883710502,0.0,103.67855150091505,103.67855150091505,-3684.980613770067,3788.6591652709817,171367.89135790942,636
2025-07-07,2303.4909898274122,-620.4141632056353,0.0,1683.0768266217767,1683.0768266217767,-2993.60324382174,4676.680070443516,173150.88043966625,637
