formation_day,rows,const,b_1,b_5,b_22
2020-03-23,364226,-1.3111338528702743,0.0156276815209565,0.12393179613801102,0.3983884987248352
2020-04-20,373324,-0.9690737027764276,0.02664948288657408,0.18208974895252455,0.4133745860064873
2020-05-18,383177,-0.9790391037718077,0.025931217775086987,0.1867974081326515,0.40654007829708144
2020-06-22,395032,-0.9387028359137477,0.025688009028199357,0.1875447965762047,0.4178680049614776
2020-07-20,404488,-0.9214597097011803,0.02541116200328228,0.18482646338327874,0.4260117823883039
2020-08-24,416906,-0.9303886416259722,0.024639055572108798,0.18300392784573954,0.42716643278432537
2020-09-21,426348,-0.9355906610112976,0.024499522253632014,0.18024339704987277,0.42889190663935123
2020-10-19,436262,-0.9276026961703482,0.024213085321302542,0.1788392441061589,0.43135401461139866
2020-11-23,448638,-0.9057603926123954,0.023566043809052854,0.1753519966978466,0.4400632108424133
2020-12-21,458068,-0.9028732883833969,0.023991833654778208,0.176279045142362,0.43872725774989957
2021-01-19,466855,-0.9251039486694491,0.023795926942546435,0.18146365576295534,0.4280658067785025
2021-02-22,477968,-0.9192868320160028,0.023590302872395157,0.1799771233341044,0.4293878662693071
2021-03-22,487807,-0.9118188031469107,0.02333207511060687,0.17720702857016363,0.43404398005040484
2021-04-19,497306,-0.9121401386521307,0.02310727096561488,0.175997060684478,0.43635849803118826
2021-05-24,509764,-0.9213859959209886,0.022657888425366556,0.17439366628959801,0.4373040868044507
2021-06-21,519214,-0.9280461136694341,0.022460001550019832,0.16963615297815796,0.4420161108410666
2021-07-19,528647,-0.9317552077806946,0.022266846195537496,0.16969434277408438,0.4417947163956822
2021-08-23,541060,-0.9307446977345226,0.021837472713716714,0.16830860481527785,0.4443638945956359
2021-09-20,550490,-0.9367578759429481,0.02193226743132202,0.16757137406704184,0.44470386556642244
2021-10-18,560438,-0.9405196842283224,0.0217237177298604,0.16674537366611658,0.4441142839943064
2021-11-22,572894,-0.9434039302190959,0.021306897870523197,0.16446955693605508,0.4460647979907889
2021-12-20,582363,-0.9429759921955174,0.021034881796154627,0.16285082666193282,0.4470205228672223
2022-01-24,593667,-0.9458938172611071,0.020719417068303148,0.1606495924736402,0.44884616137590944
2022-02-22,603404,-0.9409632181602436,0.020607705720851643,0.15976979791389062,0.45035550316260375
2022-03-21,612756,-0.9309351067880314,0.02047183403705706,0.1612016566511043,0.45014965477321467
2022-04-18,622195,-0.93013446916179,0.020433233025190848,0.16078189250874741,0.4508994657468496
2022-05-23,634568,-0.922243722097767,0.020430054332504496,0.1599463786845684,0.45235639750508705
2022-06-21,643988,-0.9090151015392994,0.020434213918107014,0.1626415986208589,0.4524154215034277
2022-07-18,652917,-0.9026449114232247,0.020283214514534135,0.1607256529562087,0.4560823477186753
2022-08-22,665270,-0.9077699974045794,0.020001135206547466,0.15944759372997583,0.4568458724503901
2022-09-19,674571,-0.9091394664748114,0.019803127951363596,0.15815113516834675,0.45824612191433123
2022-10-24,686982,-0.8995833761493903,0.01960793786392083,0.15971521493654162,0.45777425180064923
2022-11-21,696884,-0.8872564193991455,0.01960613306970608,0.16064489344745508,0.4594373053363267
2022-12-19,706289,-0.8916958197493652,0.019716871029444947,0.15814123940695252,0.4606553676631072
2023-01-23,717059,-0.9013880518737875,0.019540538515770315,0.1603812152948755,0.45626842079256097
2023-02-21,726799,-0.9009034449249618,0.019216633657905633,0.15920293288735007,0.457745564619971
2023-03-20,736149,-0.9027221267427212,0.019165089770228162,0.15745399738073587,0.45926167894616177
2023-04-24,748102,-0.9064994952490426,0.018918231476545817,0.15611872996684856,0.45948115505133247
2023-05-22,758043,-0.9092393175522437,0.018943521289031005,0.15470847330074786,0.4604627088173074
2023-06-20,767488,-0.9118205059725675,0.018923665078677654,0.1530622128343627,0.46116467289376095
2023-07-24,778916,-0.9174634406900833,0.01884359410337775,0.15257851972550446,0.46106287714088084
2023-08-21,788880,-0.9188414346740285,0.018663714477020747,0.15196773183656506,0.4615843042323653
2023-09-18,798340,-0.9237482144551914,0.01878128626829284,0.15103478317740401,0.4619361611721126
2023-10-23,810802,-0.9272523247339095,0.018677713848960616,0.15175158680034356,0.4602196956125455
2023-11-20,820772,-0.9259591200078406,0.018642923532265508,0.15153970702352057,0.45948356225950615
2023-12-18,830257,-0.9303582745247934,0.018666117326854942,0.15104254784543758,0.45927934561735156
2024-01-22,841072,-0.9333875280822034,0.018568856069457948,0.1498897008232427,0.46038014341914785
2024-02-20,850811,-0.936053192580237,0.018579332682866496,0.14878443862731824,0.4610058258267919
2024-03-18,860162,-0.9400359327913608,0.01852850691739645,0.14790547246547334,0.46055263256259915
2024-04-22,872100,-0.9445760059155877,0.018587248749651567,0.1491851094480469,0.45876642551311164
2024-05-20,882045,-0.9466013771936671,0.018430725808584333,0.14883229238180995,0.4582697532482398
2024-06-24,893486,-0.9520696377469247,0.018520144829687182,0.14747749471440058,0.4582431345832432
2024-07-22,902963,-0.9540756857614432,0.018429510288370567,0.14692412500236746,0.4590328236083218
2024-08-19,912939,-0.9550234787374251,0.018357295121214586,0.146564718467404,0.45731030005519846
2024-09-23,924915,-0.9639396496093554,0.01849766557192722,0.14712125333547302,0.45453473634907704
