date,option_pnl,vega_pnl,theta_pnl,gamma_pnl,hedge_pnl,cost,gross_pnl,total_pnl,long_pnl,short_pnl,gross_vega,n_positions
2022-10-12,-8897.910123727775,-7621.717748348985,3734.8079667342254,-11627.316032471546,-3106.8411803135778,0.0,-12004.751304041352,-12004.751304041352,-3040.201250380308,-8964.550053661045,65389.154416552374,244
2022-10-13,-17652.111642306096,3618.7636667477,4419.770039377711,-5035.478074909116,20660.344134378727,0.0,3008.232492072634,3008.232492072634,-4627.438577267192,7635.671069339827,57673.9473948568,244
2022-10-14,59390.97935277162,-3385.7162210562988,3387.6617179597174,-2121.13265641299,-56560.69955402105,0.0,2830.279798750572,2830.279798750572,819.2905834974968,2010.9892152530754,47671.555915483965,244
2022-10-17,-33012.183562172446,-3549.218923703427,14381.64103796773,4262.655741180272,47416.94392137754,0.0,14404.760359205087,14404.760359205087,-2855.2518274894246,17260.012186694512,33265.217109262645,244
2022-10-18,-47035.11922719186,-5968.421134455561,3943.66386961583,-2246.9126682546157,45871.65191324425,0.0,-1163.467313947618,-1163.467313947618,519.1232804810159,-1682.5905944286337,28811.8048020746,244
2022-10-19,-5433.189435731248,5776.960352855877,3283.2102141153987,-10150.769185092739,360.18442026067834,0.0,-5073.005015470568,-5073.005015470568,-2454.017322292682,-2618.9876931778863,16624.98870154753,244
2022-10-20,18858.497210404294,1254.2921750431794,-339.47628982476647,1076.4125598617923,-19380.77788188187,0.0,-522.2806714775782,-522.2806714775782,-5654.971580300096,5132.6909088225175,9312.262315526019,244
2022-10-21,-35407.31608505769,2664.9821515868935,1993.9872649302652,215.828327312852,38377.17085801746,0.0,2969.854772959774,2969.854772959774,2630.8398792432345,339.01489371653963,1649.2919303293738,244
2022-10-27,0.0,0.0,0.0,0.0,0.0,983.4130434234961,0.0,-983.4130434234961,-429.6644548609708,-553.7485885625254,20000.0,11
2022-10-28,-1251.2870113508075,-236.15025376849633,72.51269128079282,-695.9164638518672,441.6234455123788,1162.3385811207088,-809.6635658384287,-1972.0021469591377,-519.3713205278674,-1452.6308264312702,37671.600630528046,23
2022-10-31,-542.6359183936863,-659.5850297462779,505.01689291805513,-198.5173454393578,208.5735117895695,0.0,-334.0624066041169,-334.0624066041169,-1336.0520314424473,1001.9896248383304,36211.64711541117,23
2022-11-01,-1516.9437776148422,-1032.9937900165828,169.66828180917827,-118.48362376492172,578.3906799459161,0.0,-938.5530976689261,-938.5530976689261,-989.9198834755205,51.36678580659442,35546.05066734754,23
2022-11-02,3690.608618805188,1909.0054179061526,180.76718226844142,354.2115080239307,-1222.117478840747,0.0,2468.491139964441,2468.491139964441,594.9952228369341,1873.4959171275073,33671.812428449106,23
2022-11-03,4454.406721150145,1771.7372447723496,180.15236694406997,-2445.4419022780758,-4600.688809972715,0.0,-146.28208882256982,-146.28208882256982,-495.62553935005326,349.3434505274834,33414.940439737984,23
2022-11-04,-2160.688705484751,115.94483596572634,207.2804351344904,-608.9056117527057,1918.833514364648,0.0,-241.85519112010286,-241.85519112010286,201.366998045757,-443.2221891658599,33103.06405636404,23
2022-11-07,-182.9301423506238,-309.66329412318083,562.4299948123289,-121.33572715368265,301.8283229859197,0.0,118.89818063529589,118.89818063529589,-813.9081177529811,932.806298388277,31733.022245150223,23
2022-11-08,-563.4823791919722,-223.7240396466328,194.6463901651797,-476.3972999399899,39.16007331780317,0.0,-524.322305874169,-524.322305874169,-82.42289559888077,-441.8994102752883,31397.7291893514,23
2022-11-09,2138.165424741228,58.57135692971065,200.19912380222354,-1270.2866404330418,-3144.007254431735,1560.9988835846473,-1005.8418296905069,-2566.840713275154,-409.886624994665,-2156.9540882804895,50078.42614866631,58
2022-11-10,-11524.906360265792,-921.771223194942,163.79915931974816,-7394.38712376133,3868.2927688694976,1681.5765082433434,-7656.613591396295,-9338.190099639638,-476.40605817539154,-8861.784041464247,68415.02235642172,69
2022-11-11,-8160.355654764432,-672.7946509868259,59.79931834133454,845.9173252625773,8530.204305669626,1690.4073504473304,369.84865090519287,-1320.5586995421374,363.28800892201895,-1683.8467084641566,86701.20126030878,104
2022-11-14,-292.07351965050015,-931.0298198480294,-91.59575354799367,-1149.3458819222526,-1917.0236947190347,1651.3411186370845,-2209.097214369535,-3860.43833300662,-2019.8885048003826,-1840.549828206237,103833.96198861893,141
2022-11-15,-3163.0841987488134,812.4083566077917,-83.54793211304329,-179.53312587401032,3703.66006933878,1600.343519884561,540.5758705899667,-1059.767649294594,324.38346538676905,-1384.1511146813632,122064.2879453357,176
2022-11-16,-2817.7074630966713,-1947.898734827694,-128.61510644074272,-796.2366966499144,133.71114144026095,1477.0939775357156,-2683.99632165641,-4161.090299192126,-2389.7939511765358,-1771.2963480155902,140355.87607936034,212
2022-11-17,3715.827379893715,2436.7299054719424,-129.47147535812238,-6500.226757085658,-7606.205513706007,1785.302954617678,-3890.3781338122926,-5675.681088429971,-1712.4060066407444,-3963.275081789226,158580.44989511944,249
2022-11-18,-1469.0038374823118,116.37624478330177,-159.32269513592394,-529.654985453023,870.8651323776921,1389.5827506714,-598.1387051046199,-1987.7214557760199,-5328.367488227502,3340.6460324514824,176059.02145089718,286
2022-11-21,-1746.3233050695983,-530.577873474396,-535.8611754520188,-304.7445679922262,466.58291281597934,1438.6211335387684,-1279.7403922536191,-2718.3615257923875,-5485.003368963849,2766.6418431714615,188663.05870614375,323
2022-11-22,-8734.949551129397,-127.9823475136445,-101.04337281078638,733.1119744013283,9095.489868355631,1453.061734491643,360.54031722623427,-1092.5214172654087,-6399.433649470997,5306.912232205587,204361.0104262325,360
2022-11-23,-8522.43484107025,-1834.8180540291376,-187.76361319997233,-703.5713399420816,5656.210036393893,1619.8567605703336,-2866.224804676357,-4486.081565246691,-6438.404247611339,1952.3226823646482,219294.52627903776,399
2022-11-25,-5331.54006184456,-2278.897729664919,-375.5383994711575,-509.0218753012307,1952.0250898580964,2506.0181368098506,-3379.5149719864626,-5885.533108796313,-4660.284814437908,-1225.2482943584057,233139.55308034076,438
2022-11-28,11569.960683351177,1960.0818341924164,-300.8398849531062,722.2710107962474,-9570.186547841333,1659.9676978698158,1999.7741355098422,339.80643764002616,4184.60720687157,-3844.8007692315446,247053.89955450426,479
2022-11-29,-8346.23836692872,-632.1989506461542,-42.75291081512782,543.2295045109545,8077.351416667832,1472.4039053944011,-268.88695026088703,-1741.2908556552882,-4203.4837958202015,2462.192940164913,264745.7901653245,522
2022-11-30,-50227.505964891054,-4507.119561127719,-207.42827960279755,-5936.500570742989,38443.74782806203,2141.7101247224996,-11783.758136829023,-13925.468261551523,-4776.993835705779,-9148.474425845743,268355.85961963126,563
2022-12-01,3079.8028461888875,1697.9274619766968,-504.0916876831448,-415.01090789824474,-3803.7561440249274,1736.40556627963,-723.9532978360404,-2460.3588641156703,-3102.8048749388518,642.4460108231812,283538.1291132455,604
2022-12-02,5265.375425146184,4205.025649156702,-475.7393471890572,619.8576240583536,-1826.3983752315605,1860.0673410041388,3438.977049914625,1578.9097089104855,-8382.220307163463,9961.130016073947,296396.59640724846,645
2022-12-05,6446.905440398359,-1814.927765712304,-1644.0218243454065,-748.2778046623475,-12156.353006089745,0.0,-5709.4475656913855,-5709.4475656913855,6721.705437890185,-12431.15300358157,287471.5436334148,645
2022-12-06,16082.397881176614,5751.364763111245,-334.7575514620975,28.16946667266277,-11550.721601000805,0.0,4531.676280175807,4531.676280175807,9792.870284858922,-5261.194004683117,278915.3585661038,645
2022-12-07,5176.328388829797,-2539.7135984110228,-397.5412980050261,938.3222578100156,-7220.011353765449,0.0,-2043.6829649356519,-2043.6829649356519,3599.5544382010658,-5643.237403136717,273946.3719097331,645
2022-12-08,-1094.1925217262649,3523.053974297837,-406.9136180073195,354.87446011820094,4356.069033922315,0.0,3261.8765121960496,3261.8765121960496,-2907.2380996905154,6169.1146118865645,266149.88758463314,645
2022-12-09,27829.964137975694,5333.502553575764,-439.28992829270743,4304.886259064027,-19414.424808818534,0.0,8415.539329157158,8415.539329157158,-963.1124091756252,9378.651738332783,256558.064905472,645
2022-12-12,-46963.155863609834,-2965.0606379848086,-952.2899376736967,-1743.6023704429083,39943.03074481955,0.0,-7020.125118790276,-7020.125118790276,-3919.1357939015534,-3100.989324888723,243119.09097436495,645
2022-12-13,-23546.740510945103,-5871.488160483636,-1070.6660534479392,4568.072764590229,19983.931092193736,0.0,-3562.8094187513693,-3562.8094187513693,-10654.39361488744,7091.58419613607,233408.92839821047,645
2022-12-14,-1261.3204803098538,-2639.6107973110593,-997.2001888837834,-6199.570690410597,-10334.82517254059,0.0,-11596.145652850444,-11596.145652850444,-8117.446190719925,-3478.6994621305194,222004.57313303946,642
2022-12-15,29090.55661266137,7352.89966396045,728.0296339529821,2691.2375729607356,-19686.236302261197,0.0,9404.320310400175,9404.320310400175,12448.5582938923,-3044.2379834921253,216049.4743891666,642
2022-12-16,17103.03046774029,-1417.744574109486,39.494666459404165,-1871.4811049571751,-18228.719561009842,0.0,-1125.689093269554,-1125.689093269554,-2396.5146800090934,1270.8255867395394,208173.6264379145,642
2022-12-19,5232.581644306562,-3814.586079256563,211.17702780403303,658.6377487647459,-8579.55823415369,0.0,-3346.976589847128,-3346.976589847128,-8956.14717491272,5609.170585065592,189842.57413550364,619
2022-12-20,-17287.68157076762,-688.3047828943112,295.37619229694064,120.69430462328417,17135.077467743446,0.0,-152.6041030241763,-152.6041030241763,-3476.0166154536887,3323.412512429513,185253.8782604116,619
2022-12-21,-16922.990409517413,-370.95358864873185,140.76099706305098,488.7110056012801,16311.025311813051,0.0,-611.9650977043627,-611.9650977043627,-6217.96931795499,5606.004220250627,182730.99471345945,619
2022-12-22,22167.063989706967,6272.121591751235,-79.76379763926697,2878.026283859713,-13843.446182297708,0.0,8323.617807409259,8323.617807409259,13426.142193970018,-5102.524386560761,176366.66963905035,619
2022-12-23,-25613.450392006536,-2476.1066518037564,111.15125231262917,2363.940783735156,22944.347748379652,0.0,-2669.1026436268858,-2669.1026436268858,-9040.52475114701,6371.422107520123,171784.55840537598,619
2022-12-27,-10445.315766416275,1960.2834032957323,-194.17031174433095,122.48320181855969,11498.14125833929,0.0,1052.8254919230164,1052.8254919230164,-4559.238350686762,5612.063842609778,152547.02067615397,619
2022-12-28,24520.48984266719,1980.8030470366618,-169.78056831416998,1993.8728482492515,-21649.54646709871,0.0,2870.943375568478,2870.943375568478,7268.303797655902,-4397.360422087423,144313.06960314146,619
2022-12-29,-2289.664021597767,-721.4470415028086,95.47581973588359,-2625.9848073913,-1610.4590237991922,0.0,-3900.123045396959,-3900.123045396959,-5536.845518919277,1636.7224735223185,145699.23802121676,619
2022-12-30,4692.580060510333,1014.5485068707313,159.01867832458385,-738.9727897505259,-4576.230785304178,0.0,116.34927520615577,116.34927520615577,-3249.1831562546113,3365.532431460767,142229.68664486738,619
2023-01-03,6546.512833511649,290.11337256878295,635.111003102539,3351.5090885147347,-2093.432013734319,0.0,4453.08081977733,4453.08081977733,2911.8510405196516,1541.2297792576785,119550.62773795913,614
2023-01-04,-15148.073989198923,1028.345458828515,561.916318227109,-1488.9744873793052,14041.167528982021,0.0,-1106.9064602169044,-1106.9064602169044,-1614.180966280978,507.2745060640733,111839.22266954594,613
2023-01-05,10161.754770856007,4462.13627461835,455.87598592827055,-4978.335092904836,-12457.186837715413,0.0,-2295.432066859407,-2295.432066859407,-835.388365113205,-1460.0437017462018,109378.20267167404,613
2023-01-06,-43489.563684726316,-5436.196588266579,392.8442329946454,-5290.09138903624,33814.623465558536,0.0,-9674.940219167782,-9674.940219167782,-4871.246458179093,-4803.693760988689,98008.7709245821,613
2023-01-09,-14386.993837336879,-8434.244827900771,518.5325463879699,5354.807235732821,13275.182964693238,0.0,-1111.8108726436396,-1111.8108726436396,1607.1983776602385,-2719.009250303878,85359.47403864856,613
2023-01-10,4232.151668455594,3410.7671500874767,764.390657466521,3248.323625400916,803.763207284264,0.0,5035.914875739857,5035.914875739857,-94.95517935974861,5130.870055099606,77031.03151987959,613
2023-01-11,-14944.184456987401,1093.5044794259413,565.0400300846933,-3325.106572354051,9897.57224871302,0.0,-5046.612208274379,-5046.612208274379,-1851.321917244523,-3195.2902910298562,68398.01204648377,613
2023-01-12,4660.809048811497,7214.764213937721,436.1407652589994,4561.141302529547,2698.2251528872757,0.0,7359.034201698772,7359.034201698772,-5069.512986909184,12428.547188607958,57579.0383517609,613
2023-01-13,8367.707853075151,-1645.6080436530178,-30.23115794513823,435.9193750860294,-11943.878474703175,0.0,-3576.170621628024,-3576.170621628024,-4591.278689939629,1015.1080683116049,47675.00303946109,613
2023-01-17,13726.000749892954,3449.53737190607,3376.124774888791,-305.5039833919935,-11224.377245133632,0.0,2501.623504759321,2501.623504759321,-2520.048776119357,5021.672280878679,29024.15628325506,613
2023-01-18,37237.47408364892,2435.2629992771313,1641.1349790916588,1037.22376865394,-33707.99031567757,0.0,3529.4837679713514,3529.4837679713514,706.6842883535926,2822.7994796177586,24057.611227855537,613
