symbol,month,entry_day,expiration,strike,spot_entry,iv,realized_var,premium_over_spot,naked,static_hedge,daily_hedge,variance_premium,earnings_in_hold,hedged_sessions
A,2019-01-01,2019-01-23,2019-02-15,70.0,71.65,0.24775000000000003,0.027980507271201858,0.05561758548499651,-1.0828105395232113,-0.5523124215809283,0.07450589711417768,0.03339955522879816,false,17
A,2019-02-01,2019-02-20,2019-03-15,77.5,78.56,0.29845,0.027613049409041055,0.06428207739307536,0.28712871287128555,0.37791485148514714,0.42230455445544507,0.06145935309095894,true,17
A,2019-03-01,2019-03-19,2019-04-18,80.0,81.2,0.18960000000000002,0.0606297470624709,0.045751231527093594,-0.03095558546433336,-0.38501884253028223,-0.45136796769852017,-0.024681587062470894,false,22
A,2019-04-01,2019-04-23,2019-05-17,75.0,75.56,0.3195,0.26658894310083503,0.06465060878771836,-0.20573183213920182,-0.36576049129989796,-1.2512448311156605,-0.16450869310083505,true,18
A,2019-05-01,2019-05-21,2019-06-21,70.0,68.32000000000001,0.2348,0.021073663411094696,0.0547423887587822,0.10695187165775315,-0.22579090909090965,0.2353248663101601,0.034057376588905314,false,22
A,2019-06-01,2019-06-25,2019-07-19,72.5,72.51,0.22225,0.04895863514630659,0.046338436077782375,-0.13095238095238,-0.18413363095237995,0.04928541666666856,0.000436427353693411,false,17
A,2019-07-01,2019-07-23,2019-08-16,70.0,69.89,0.2966,0.12740805995180343,0.06209758191443697,0.7511520737327193,0.759679493087558,0.13427281105990763,-0.03943649995180344,true,18
A,2019-08-01,2019-08-20,2019-09-20,72.5,71.12,0.22265000000000001,0.05143191627083313,0.0531496062992126,-0.4470899470899467,-0.792851851851851,-0.24060608465608763,-0.00185889377083312,false,22
A,2019-09-01,2019-09-24,2019-10-18,77.5,75.97,0.22690000000000002,0.05336570675378261,0.05153350006581545,0.25159642401021903,0.3292669220945097,0.0493823754789292,-0.0018820967537826055,false,18
A,2019-10-01,2019-10-22,2019-11-15,75.0,74.69,0.23835,0.01676229181518245,0.04766367652965591,0.0842696629213469,0.06892668539325693,0.4216702247190998,0.040048430684817546,false,18
A,2019-11-01,2019-11-19,2019-12-20,77.5,79.29,0.27095,0.022200624569057862,0.06665405473578004,-0.4550614947965937,-0.1586213812677388,0.2602465846736039,0.05121327793094216,true,22
A,2019-12-01,2019-12-24,2020-01-17,85.0,85.3,0.17035,0.015517646836534902,0.0354630715123095,-0.6925619834710757,-0.5344978512396705,0.14065454545454423,0.0135014756634651,false,16
A,2020-01-01,2020-01-22,2020-02-21,90.0,90.13000000000001,0.2591,0.04716560327836685,0.059747032064795286,0.08449396471680728,0.029336675951719068,0.05150213556174656,0.01996720672163315,true,21
A,2020-02-01,2020-02-25,2020-03-20,80.0,77.95,0.29974999999999996,0.7891164434353795,0.06946760744066709,-1.500461680517081,-1.0608073868882724,-1.6139625115420115,-0.6992663809353795,false,18
A,2020-05-01,2020-05-19,2020-06-19,82.5,81.97,0.35455000000000003,0.08217798506967061,0.08265218982554594,0.08044280442804375,0.07186184501844958,0.1287856826568256,0.043527717430329405,true,22
A,2020-06-01,2020-06-23,2020-07-17,87.5,89.28,0.31955,0.04339531132655165,0.06434811827956989,-0.19582245430809475,0.010169712793733016,0.2082649260226276,0.058716891173448346,false,17
A,2020-07-01,2020-07-21,2020-08-21,95.0,96.02000000000001,0.3093,0.041334150394524476,0.07212039158508644,0.5234657039711176,0.5664976173285182,0.38219162454873506,0.05433233960547553,true,23
A,2020-08-01,2020-08-25,2020-09-18,97.5,98.34,0.23895000000000002,0.06454605760831869,0.04881025015253203,0.6083333333333313,0.6379733333333315,0.16852687499999824,-0.007448955108318681,false,17
