month,names,naked,static_hedge,daily_hedge,variance_premium,vol_premium,iv,realized_vol,share_positive
2019-03-01,1,0.046562287270249185,0.0869110142954364,0.10769383253914454,0.0016631628352059575,0.007932378015569133,0.10880000000000001,0.10086762198443087,1.0
2019-04-01,1,0.2265134099616889,-0.11383793103448012,-0.372321869731801,-0.009054368009340886,-0.03902349615229414,0.0965,0.13552349615229414,0.0
2019-05-01,1,-0.1530271398747393,0.04514665970772398,0.018100970772445095,0.006243329315660543,0.022893992601078397,0.1478,0.12490600739892159,1.0
2019-06-01,1,0.611909146715775,0.48864966236955026,0.40554006138735466,0.01172590270750221,0.057788165730889976,0.13035000000000002,0.07256183426911005,1.0
2019-07-01,1,-0.412316715542518,-0.8464261730205238,-0.4436840322580685,-0.03445083381078455,-0.10634709807660561,0.10880000000000001,0.21514709807660562,0.0
2019-08-01,1,0.3379072063178662,0.24273180651529966,0.08528546890424324,0.004343947477030537,0.015526667378659181,0.14765,0.13212333262134082,1.0
2019-09-01,1,0.9545454545454578,0.9224023923445009,0.0723477392344467,-0.004906801736843495,-0.01824465253568286,0.12535000000000002,0.14359465253568288,0.0
2019-10-01,1,-0.6482512491077808,-0.7139955745895794,0.23443100642398246,0.0090175798992539,0.05175116245391999,0.113,0.061248837546080015,1.0
2019-11-01,1,-0.34155069582505304,-0.2760655268389696,0.08747726971504456,0.004295549839668341,0.023602208614560097,0.1028,0.0791977913854399,1.0
2019-12-01,1,-0.7178981937602682,-0.6721923152709414,-0.004736863711005697,0.0017916731589360689,0.010322006388347807,0.09195,0.0816279936116522,1.0
2020-01-01,1,0.7815384615384615,0.7931569230769231,-0.12881156923077156,-0.006549259428000951,-0.02756794268600893,0.10500000000000001,0.13256794268600894,0.0
