date,gross_pnl,gross_vega,window,book
2024-11-27,-13982.70374271403,18036.925408824176,1m,mvo
2024-11-29,2819.807932582429,17157.884239399595,1m,mvo
2024-12-02,12806.966165402016,19999.99999115947,1m,mvo
2024-12-03,-6702.390158916553,19606.770728186577,1m,mvo
2024-12-04,-11872.896615221005,19098.42292482908,1m,mvo
2024-12-05,-2431.690545207883,18443.36262551355,1m,mvo
2024-12-06,1588.8518332953863,18078.70382911237,1m,mvo
2024-12-09,7423.298977308208,19999.99994063757,1m,mvo
2024-12-10,-8544.931467176959,18607.186290106947,1m,mvo
2024-12-11,4718.430796125596,18257.389465126755,1m,mvo
2024-12-12,-12383.797585963735,19036.02143510132,1m,mvo
2024-12-13,-15717.35927264968,18336.41108743563,1m,mvo
2024-12-16,-1246.0027380590905,19999.999926941684,1m,mvo
2024-12-17,-5301.113637712875,20824.392005638172,1m,mvo
2024-12-18,2032.5999470576853,19596.785230950933,1m,mvo
2024-12-19,-5881.071202280824,19357.51865545673,1m,mvo
2024-12-20,-2115.655426743492,19851.35689276071,1m,mvo
2024-12-23,2593.938166171232,19999.99987610101,1m,mvo
2024-12-24,-42808.515399455515,18339.122997987903,1m,mvo
2024-12-26,3140.5954500873095,17774.730996509254,1m,mvo
2024-12-27,7937.133042576174,17732.54932520756,1m,mvo
2024-12-30,24436.701051650478,19999.999475314817,1m,mvo
2024-12-31,10357.301893899816,19705.91055909338,1m,mvo
2025-01-02,-18521.68464780319,19264.89488674014,1m,mvo
2025-01-03,47799.81748191285,18820.89750711168,1m,mvo
2025-01-06,-40244.72301634957,19999.999968476954,1m,mvo
2025-01-07,-4022.7811715160465,20265.91312900027,1m,mvo
2025-01-08,-5259.451278410003,19445.739366331833,1m,mvo
2025-01-10,20509.622322354346,18139.492054606475,1m,mvo
2025-01-13,27307.606179354818,19999.999958620676,1m,mvo
2025-01-14,-9411.753052086844,19776.092593631703,1m,mvo
2025-01-15,-33615.47925174049,18584.65360693065,1m,mvo
2025-01-16,-12123.773239305292,17718.8638568787,1m,mvo
2025-01-17,-1531.1966178890875,17421.987324232203,1m,mvo
2025-01-21,-12113.776689275024,19999.999809985755,1m,mvo
2025-01-22,19341.95060441547,20256.85932427079,1m,mvo
2025-01-23,-30304.222732583177,21614.69010318825,1m,mvo
2025-01-24,-7639.012692210637,21707.718200188636,1m,mvo
2025-01-27,78953.46618413513,19999.999910696024,1m,mvo
2025-01-28,-43419.974110575284,19413.40772548825,1m,mvo
2025-01-29,22302.835467674915,19216.193378769483,1m,mvo
2025-01-30,555.2491590928364,18410.83172360944,1m,mvo
2025-01-31,-13373.732063038433,18065.460547752315,1m,mvo
2025-02-03,-5009.161659753675,19999.999912924635,1m,mvo
2025-02-04,-11404.847605095923,19740.370335769752,1m,mvo
2025-02-05,5004.997469793359,19115.47070512252,1m,mvo
2025-02-06,4327.839555405464,18718.191549149997,1m,mvo
2025-02-07,-3721.6921071010356,18868.881561746406,1m,mvo
2025-02-10,1161.733509816367,19999.999877880044,1m,mvo
2025-02-11,12568.62952432824,19808.28309169632,1m,mvo
2025-02-12,2656.44096663519,19510.91769630025,1m,mvo
2025-02-13,-11995.737022708148,19019.334254753663,1m,mvo
2025-02-14,4086.1129525324554,19044.170321115675,1m,mvo
2025-02-18,9101.658152131708,19999.99985852118,1m,mvo
2025-02-19,-19971.671302894876,19616.28890504242,1m,mvo
2025-02-20,-8533.297869192162,19752.906947256437,1m,mvo
2025-02-21,4486.187796269176,19979.378206492856,1m,mvo
2025-02-24,16495.797380218202,19999.99985770418,1m,mvo
2025-02-25,4770.165450806006,19225.51160766432,1m,mvo
2025-02-26,3679.5135188096947,19498.788998120956,1m,mvo
2025-02-27,-6020.21799645051,18263.97872820522,1m,mvo
2025-02-28,-883.8114755033715,17353.38888852271,1m,mvo
2025-03-03,-761.4279561679983,19999.999961066806,1m,mvo
2025-03-04,-8920.390505718025,20204.85377183947,1m,mvo
2025-03-05,22400.41177860762,19824.955834814005,1m,mvo
2025-03-06,-4844.690443334421,19353.739896075633,1m,mvo
2025-03-07,-10202.255396680057,18213.777555929068,1m,mvo
2025-03-10,-5012.572758582787,19999.999972522277,1m,mvo
2025-03-11,-11602.636140561906,19936.047946768947,1m,mvo
2025-03-12,-8969.584046686945,19657.80430526943,1m,mvo
2025-03-13,4840.2261427227,19468.173239152467,1m,mvo
2025-03-14,-2784.9893215369557,19310.477215039646,1m,mvo
2025-03-17,-11319.004714163168,19999.999911319464,1m,mvo
2025-03-18,-9114.485479243991,20224.1934113253,1m,mvo
2025-03-19,-9144.703031383307,19309.699544129413,1m,mvo
2025-03-20,14562.777436688546,19141.93143237568,1m,mvo
2025-03-21,3530.635475349212,18643.24410647763,1m,mvo
2025-03-24,-8286.891705884478,19999.999853506575,1m,mvo
2025-03-25,-23451.14387834652,20263.487946780348,1m,mvo
2025-03-26,4377.899216578048,19567.2983621723,1m,mvo
2025-03-27,920.5917238541264,19054.25161853592,1m,mvo
2025-03-28,1990.1031870631068,32961.28842785308,1m,mvo
2025-03-31,-4089.838224240935,19999.999991486307,1m,mvo
2025-04-01,-3055.6871195339627,19712.24009959284,1m,mvo
2025-04-02,-3773.031968066828,19505.784136295166,1m,mvo
2025-04-03,75280.66205537129,17666.49173309055,1m,mvo
