rule,effective_spread,months,months_short,months_long,naked_mean,naked_t,naked_sharpe,naked_min,naked_max_drawdown,hedged_mean,hedged_t,hedged_sharpe,hedged_min,hedged_max_drawdown
"short in contango, long in backwardation",0.5,95,75,20,-0.03240767908073732,-0.47079082982493187,-0.048302119976058586,-1.8554724041159902,-9.401232900088495,-0.0896672364299713,-2.366924378756582,-0.24284131736268555,-1.8305062482643697,-9.82665492605629
"short in contango, long in backwardation",1.0,95,75,20,-0.07757389357732275,-1.101215998900555,-0.11298237758417984,-1.8634237605238482,-13.090733522467204,-0.1348334509265567,-3.366732268096377,-0.34541944243334344,-1.8361991113579548,-13.80973201685459
short when slope z > 0,0.0,95,51,0,0.013860184463433131,0.29831320037655074,0.030606288572758194,-1.8475210477081325,-3.39134889073476,-0.006187979235416968,-0.28635799906417475,-0.029379710798626415,-0.8257974540311146,-1.9786906960561201
short when slope z > 0,0.25,95,51,0,0.004985960583798837,0.10702571691515592,0.010980606867134387,-1.8514967259120614,-3.7003939198192053,-0.015062203115051258,-0.7040139998641511,-0.07223031234254998,-0.8530251768033918,-2.3563851230112984
short when slope z > 0,0.5,95,51,0,-0.0038882632958354662,-0.08296078653818541,-0.00851159710601357,-1.8554724041159902,-4.485205512883391,-0.023936426994685563,-1.1120922962717743,-0.114098262149551,-0.8802528995756691,-3.0425246675500657
short when slope z > 0,1.0,95,51,0,-0.02163671105510404,-0.45177666394543115,-0.04635130771852619,-1.8634237605238482,-6.054828699011759,-0.04168487475395415,-1.830409282353455,-0.18779602991503674,-0.9347083451202235,-4.680534347510074
"short when slope z > 0, long when z < -1",0.0,95,51,8,0.020215450778308126,0.3848785042821293,0.039487701357637794,-1.8475210477081325,-3.7448555740972496,-0.016732636422787647,-0.759434159918117,-0.07791630079099632,-0.8257974540311146,-2.473913369195425
"short when slope z > 0, long when z < -1",0.25,95,51,8,0.0070303139526691075,0.1325951853401151,0.013603978974967689,-1.8514967259120614,-4.547807043044898,-0.029917773248426677,-1.338931879103055,-0.1373715122876431,-0.8530251768033918,-3.6347989902407254
"short when slope z > 0, long when z < -1",0.5,95,51,8,-0.006154822872969885,-0.11450953269325806,-0.011748430165066999,-1.8554724041159902,-5.6659030783776165,-0.043102910074065706,-1.8574890394729529,-0.19057435437346962,-0.8802528995756691,-4.863340560091179
"short when slope z > 0, long when z < -1",1.0,95,51,8,-0.03252509652424798,-0.5822286604315131,-0.05973540015662706,-1.8634237605238482,-7.96085426431485,-0.06947318372534375,-2.6391423035035753,-0.2707702871466816,-0.9547185779816532,-7.3204236997920855
short when 1m IV above its 1y mean,0.0,95,36,0,0.009530689960755234,0.20432222447758036,0.020963017916388084,-1.7064704248819784,-3.6932086965419395,-0.04930821370957743,-1.5772317314659827,-0.16182056127058833,-1.8248133851707846,-5.762901213405215
short when 1m IV above its 1y mean,0.25,95,36,0,0.002790887576604547,0.06019704596573743,0.006176086602032157,-1.709316856428771,-3.7408569336840953,-0.05604801609372811,-1.8021123358199367,-0.18489282445768665,-1.8276598167175773,-6.327215227797548
short when 1m IV above its 1y mean,0.5,95,36,0,-0.0039489148075461476,-0.08543640327429101,-0.008765590023943977,-1.7121632879755635,-3.7885051708262507,-0.06278781847787884,-2.015584164040284,-0.20679457191109837,-1.8305062482643697,-6.8915292421898835
short when 1m IV above its 1y mean,1.0,95,36,0,-0.01742851957584754,-0.3759151954902748,-0.038568085279288074,-1.7178561510691486,-4.2092501537637865,-0.07626742324618022,-2.392620504976666,-0.24547768428611091,-1.8361991113579548,-8.070295162120924
short when 1m IV below its 1y mean,0.0,95,51,0,0.014058561435284072,0.3040801616217855,0.031197966312250688,-1.8475210477081325,-4.22060562908241,0.018707439991997865,0.9715815235015645,0.09968216103985186,-0.8257974540311146,-1.4333992236432183
short when 1m IV below its 1y mean,0.25,95,51,0,0.000094921943814541,0.002054501621954065,0.0002107874188448708,-1.8514967259120614,-4.397373497164898,0.004743800500528325,0.25032382443873313,0.025682682488530485,-0.8530251768033918,-1.6215198318970308
