date,iv_30,iv_30_dte,iv_90,iv_90_dte,slope,spx_close,VIX,VIX3M,slope_z,iv_30_mean_1y
2017-07-20,0.07175000000000001,29,0.0973,92,0.02554999999999999,,,,0.6954924045838513,0.08977717391304348
2017-07-21,0.06885000000000001,28,0.09575,91,0.026899999999999993,,,,0.8414361428301342,0.08962661870503597
2017-07-24,0.06955,32,0.0956,88,0.026050000000000004,,,,0.742029674291072,0.08948321428571429
2017-07-25,0.06645000000000001,31,0.08515,87,0.018699999999999994,,,,-0.08282079135329688,0.08931985815602837
2017-07-26,0.0659,30,0.08430000000000001,86,0.018400000000000014,,,,-0.1162062616911384,0.08915492957746479
2017-07-27,0.0678,29,0.08615,85,0.018350000000000005,,,,-0.12142915686760695,0.08900559440559441
2017-07-28,0.07095000000000001,28,0.1008,95,0.029849999999999988,,,,1.1734908896029863,0.08888020833333334
2017-07-31,0.0731,31,0.0996,92,0.026499999999999996,,,,0.7894832873199781,0.08877137931034483
2017-08-01,0.06705,30,0.08735000000000001,91,0.020300000000000012,,,,0.08580786563634953,0.08862260273972603
2017-08-02,0.06785000000000001,30,0.0883,90,0.020449999999999996,,,,0.10253181650806882,0.0884812925170068
2017-08-03,0.07385,29,0.1009,89,0.027050000000000005,,,,0.851426170440297,0.08838243243243243
2017-08-04,0.06720000000000001,28,0.08895,88,0.02174999999999999,,,,0.24459698285840287,0.08824026845637584
2017-08-07,0.0697,32,0.0883,85,0.018600000000000005,,,,-0.11630601520004066,0.08811666666666668
2017-08-08,0.07995000000000001,31,0.10500000000000001,84,0.025050000000000003,,,,0.6230748492374865,0.08806258278145697
2017-08-09,0.08115,30,0.10725000000000001,83,0.026100000000000012,,,,0.7403620084580685,0.0880171052631579
2017-08-10,0.11285,29,0.12050000000000001,82,0.007650000000000004,,,,-1.3770984089616185,0.08817941176470588
2017-08-11,0.11000000000000001,28,0.1231,98,0.013099999999999987,,,,-0.7458083999293565,0.08832110389610391
2017-08-14,0.0849,32,0.1101,95,0.0252,,,,0.6464032590489324,0.08829903225806453
2017-08-15,0.09045,31,0.10885,94,0.0184,,,,-0.13869601156646671,0.08831282051282052
2017-08-16,0.0816,30,0.10755,93,0.02595,,,,0.7326646298636524,0.08827006369426753
2017-08-17,0.11570000000000001,29,0.11765,92,0.0019499999999999934,,,,-2.0194182788902717,0.08844367088607595
2017-08-18,0.10715000000000001,28,0.11500000000000002,91,0.00785000000000001,,,,-1.329753153647122,0.08856132075471698
2017-08-21,0.1082,32,0.11785000000000001,88,0.009650000000000006,,,,-1.1155326528415208,0.08868406250000001
2017-08-22,0.0912,31,0.10485,87,0.013649999999999995,,,,-0.6545221417613893,0.0886996894409938
2017-08-23,0.09855,30,0.1121,86,0.013550000000000006,,,,-0.6630363423417237,0.0887604938271605
2017-08-24,0.09855,29,0.1131,85,0.014550000000000007,,,,-0.5459286756546341,0.08882055214723926
2017-08-25,0.09125,28,0.11030000000000001,84,0.01905000000000001,,,,-0.02754463328323766,0.08883536585365855
2017-08-28,0.094,32,0.1086,94,0.014600000000000002,,,,-0.539547860559549,0.08886666666666666
2017-08-29,0.09155,31,0.11030000000000001,93,0.018750000000000003,,,,-0.058871560743251054,0.08888283132530121
2017-08-30,0.08555,30,0.1111,92,0.025550000000000003,,,,0.7274921695442654,0.08886287425149701
2017-08-31,0.07975000000000002,29,0.1109,91,0.031149999999999983,,,,1.3669204315811323,0.08880863095238095
2017-09-01,0.0736,28,0.09845000000000001,90,0.02485000000000001,,,,0.6335475028949051,0.08871863905325444
2017-09-05,0.0955,31,0.11575000000000002,86,0.020250000000000018,,,,0.09874942200788975,0.08875852941176471
2017-09-06,0.08485000000000001,30,0.11295000000000001,85,0.0281,,,,1.0075877489512306,0.08873567251461988
2017-09-07,0.08075000000000002,29,0.11165,84,0.030899999999999983,,,,1.323149233912018,0.08868924418604651
2017-09-08,0.09,28,0.11410000000000001,83,0.02410000000000001,,,,0.5305417258338633,0.08869682080924857
2017-09-11,0.07525,32,0.10665000000000001,95,0.03140000000000001,,,,1.3696109521388309,0.08861954022988507
2017-09-12,0.0701,31,0.10265,94,0.03255000000000001,,,,1.4893392361334035,0.08851371428571429
2017-09-13,0.06970000000000001,30,0.1008,93,0.03109999999999999,,,,1.3111674371272852,0.08840681818181818
2017-09-14,0.0676,29,0.09945000000000001,92,0.03185000000000002,,,,1.3862287890334357,0.08828926553672317
2017-09-15,0.06455,28,0.09695000000000001,91,0.03240000000000001,,,,1.4370548241371832,0.0881558988764045
2017-09-18,0.07055,32,0.09655,88,0.025999999999999995,,,,0.6988111014741607,0.08805754189944134
2017-09-19,0.0703,31,0.0938,87,0.023499999999999993,,,,0.40983097445176503,0.08795888888888889
2017-09-20,0.06725,30,0.09145,86,0.0242,,,,0.48888442330269166,0.08784447513812155
2017-09-21,0.07105,29,0.09315000000000001,85,0.02210000000000001,,,,0.24546758128225485,0.0877521978021978
2017-09-22,0.06895,28,0.0937,84,0.024750000000000008,,,,0.5505678569725321,0.08764945355191257
2017-09-25,0.0751,32,0.10005,95,0.02495,,,,0.5717202040515136,0.08758125
2017-09-26,0.0742,31,0.1001,94,0.025899999999999992,,,,0.6795194812172315,0.08750891891891893
2017-09-27,0.0754,30,0.1,93,0.02460000000000001,,,,0.5262850283904823,0.08744381720430107
2017-09-28,0.06765,29,0.0989,92,0.03125,,,,1.2930436628144886,0.0873379679144385
2017-09-29,0.0654,28,0.09865,91,0.03325,,,,1.5125983252386292,0.08722127659574469
2017-10-02,0.05940000000000001,29,0.0877,88,0.028299999999999992,,,,0.9333229676646224,0.08707407407407408
2017-10-03,0.0683,31,0.08710000000000001,87,0.01880000000000001,,,,-0.16939614148052415,0.08697526315789475
