horizon,target,model,rmse,qlike,mae,bias,corr,alpha,beta,t_alpha_eq_0,t_beta_eq_1,mz_joint_f,mz_joint_p,r2,rmse_vs_best,qlike_vs_best
21,target_rv,RV,0.12162342770636687,0.6067006605148084,0.07932867338757531,0.0030761879956920724,0.3214167399598686,0.10690658701483277,0.3241850085222059,3.8774887176764703,-3.915244955314439,9.721489705998977,8.879878469935987e-05,0.10330872072642983,1.2187046573803617,1.2143925111349565
21,target_rv,ARCH,0.11020545436494354,0.7964473976739914,0.0706578752562121,0.0005343892276875103,0.167995614237165,0.10924003830747336,0.31476274749264144,2.8709085995209436,-7.505577583392641,42.3916088581728,2.2223888362159883e-16,0.028222526402922665,1.1042930053536446,1.5941959819650011
21,target_rv,GARCH,0.11639500704430088,0.7717051094225352,0.07446920620713646,0.0023353585779984465,0.1952342336792033,0.11547109894275723,0.272800194670778,3.194648684523364,-8.427476025155961,46.62776093121687,1.0558543625394944e-17,0.03811640600030586,1.1663142525729333,1.544670983038158
21,target_rv,IV,0.0997972945863682,0.4995918987904441,0.07923036490454852,0.03306610567698155,0.44503878226446925,-0.006354699076559849,0.8614056655237422,-0.16999321007359788,-0.6785346164902782,1.0413205015006182,0.3546608308921251,0.19805951771944175,1.0,1.0
21,target_rv,MEAN,0.12264462092522756,0.98149089167477,0.09379807787119143,0.020247505517772216,-0.45799637531123943,0.45608619501951575,-1.6475887503944806,2.792948112288159,-3.2872073585485952,14.263102298340478,1.4573192248866826e-06,0.20976067979823376,1.228937331753883,1.9645852826097576
21,target_iv,RV,0.11332079569741677,0.8735321044820291,0.08349508082203615,-0.028796439420419918,0.157083436758839,0.17805771897953054,0.08282901241988164,12.421327512098884,-14.144597185271445,115.0950842606494,2.7884008740720035e-35,0.02467520610396834,1.8080680158539582,6.123906803349356
21,target_iv,ARCH,0.0831406520665839,0.4071555356068784,0.05135040645226844,-0.03133823818842448,0.032874845898967574,0.18637873043639946,0.03220154893213097,10.339425651194436,-23.198659625343524,492.45665966910803,1.770024699251596e-83,0.0010807554928808916,1.326534577291707,2.854368536349094
21,target_iv,GARCH,0.0952419923903761,0.47376533206945143,0.06281447508740529,-0.02953726883811354,0.05236980832134432,0.18533994626522474,0.038255804654807074,10.41006767449678,-23.083592742234444,432.8170087230077,2.361366310549428e-78,0.0027425968236143294,1.5196151699027527,3.321337275830905
21,target_iv,IV,0.06558192188599592,0.14264294551384538,0.042835217391304345,0.0011934782608695647,0.2755467350096793,0.13779907336484126,0.27882569129032203,4.551373660389103,-4.018383091221167,10.738764604849482,3.4913151921755364e-05,0.0759260031744945,1.046379657418916,1.0
21,target_iv,MEAN,0.0626750734506494,0.19940129051295397,0.04611640044869887,0.004293765732468675,-0.3559524046035153,0.4247249426987595,-1.190758176190378,3.5741822679515494,-3.851639481561759,15.056046494605965,7.218058181075214e-07,0.1267021143430248,1.0,1.397905026390523
