horizon,target,model_a,model_b,loss,mean_loss_diff,t_stat,a_better,b_better
21,target_iv,RV,GARCH,mse,0.0037705656230072084,1.1951565326903875,False,False
21,target_iv,RV,GARCH,qlike,0.39976677241257763,1.6613494578949537,False,False
21,target_iv,RV,IV,mse,0.008540614259234799,2.1633457105938283,False,True
21,target_iv,RV,IV,qlike,0.7308891589681837,3.250187619909525,False,True
21,target_iv,RV,MEAN,mse,0.008913437905451372,1.7828358880451571,False,False
21,target_iv,RV,MEAN,qlike,0.6741308139690751,2.949757077557141,False,True
21,target_iv,ARCH,GARCH,mse,-0.0021586690884316997,-1.356326620476366,False,False
21,target_iv,ARCH,GARCH,qlike,-0.066609796462573,-2.463935957363575,True,False
21,target_iv,ARCH,IV,mse,0.0026113795477958907,1.5823254222152912,False,False
21,target_iv,ARCH,IV,qlike,0.2645125900930331,1.7587672258306188,False,False
21,target_iv,ARCH,MEAN,mse,0.0029842031940124627,1.4462317866561152,False,False
21,target_iv,ARCH,MEAN,qlike,0.2077542450939245,1.9462292048499767,False,False
21,target_iv,GARCH,IV,mse,0.004770048636227591,2.0866779779893183,False,True
21,target_iv,GARCH,IV,qlike,0.3311223865556061,2.249963271155945,False,True
21,target_iv,GARCH,MEAN,mse,0.005142872282444163,1.5366313690689473,False,False
21,target_iv,GARCH,MEAN,qlike,0.2743640415564975,2.5454398461708125,False,True
21,target_iv,IV,MEAN,mse,0.0003728236462165719,0.2092074597375281,False,False
21,target_iv,IV,MEAN,qlike,-0.05675834499910859,-0.8251392403265732,False,False
