variant,decile,straddle,call_hedged,put_hedged
"baseline, exit after 5 sessions",2,0.009615154989263228,5.01151286295398e-6,0.0007027762400135832
"baseline, exit after 5 sessions",3,0.003403117473404018,-0.00036314845288223187,-0.0001705291702938873
"baseline, exit after 5 sessions",4,0.007557969609717651,-0.00020071033257644877,0.0003691896195976148
"baseline, exit after 5 sessions",5,0.012017388525547441,0.0007232880035822601,0.0007784678331066025
"baseline, exit after 5 sessions",6,0.010183066567881614,-0.00011880624126581832,0.0004534762511546549
"baseline, exit after 5 sessions",7,0.009086680356837936,0.0003650988705570595,0.0005986045222608875
"baseline, exit after 5 sessions",8,0.003874372298894611,0.00021221164452085367,0.0002326870462846792
"baseline, exit after 5 sessions",9,-0.0011551145748311788,-0.0004568195728717121,-0.0002509592177788766
"baseline, exit after 5 sessions",10,-0.001141772804468092,-0.00008125957056665127,0.0002760025902779585
"baseline, exit after 10 sessions",1,0.01896263318253817,-0.0005416437849762566,0.0008218356084304028
"baseline, exit after 10 sessions",2,0.028019844450538105,0.0002690341921392221,0.001598733608341174
"baseline, exit after 10 sessions",3,0.003945088695760279,-0.0012564560402421564,-0.00036345432899557116
"baseline, exit after 10 sessions",4,0.022198328242613946,0.00022684617359440177,0.0015244476167635293
"baseline, exit after 10 sessions",5,0.020591810001051727,0.0006425046145717098,0.001296318763419342
"baseline, exit after 10 sessions",6,0.023459984471954357,-0.00020697802640194944,0.0009253687314782712
"baseline, exit after 10 sessions",7,0.016420681201867335,-0.00013464781919168673,0.0007726120644394652
"baseline, exit after 10 sessions",8,0.015373134481304764,-0.0000339074631988942,0.00039373017452522225
"baseline, exit after 10 sessions",9,0.005093468156978687,-0.0006009206107165439,-0.000590041501987833
"baseline, exit after 10 sessions",10,0.012446244326412505,0.0006962388178936822,0.0010543218010483767
"baseline, exit after 15 sessions",1,0.03987683548594958,0.00024489315254021515,0.0021734083225990733
"baseline, exit after 15 sessions",2,0.03882822735834174,-0.00012499544604455847,0.0010064308985712079
"baseline, exit after 15 sessions",3,0.008801071465585592,-0.0015156660725871858,-0.0009968327661710257
"baseline, exit after 15 sessions",4,0.030294311016152313,0.0008968588344244998,0.0024817053177028097
"baseline, exit after 15 sessions",5,0.012526209483858904,-0.0001559261478548067,0.0008859866123237751
"baseline, exit after 15 sessions",6,0.04004082541752412,0.0007220390792319399,0.0015654987867178033
"baseline, exit after 15 sessions",7,0.03992245064824606,0.0009516411087170716,0.00159138791774712
"baseline, exit after 15 sessions",8,0.04115784330222428,0.0016961769447475042,0.0018622391544398308
"baseline, exit after 15 sessions",9,0.0251683432556545,0.0007442997341226712,0.0012385428102864341
"baseline, exit after 15 sessions",10,0.029204946419566887,0.0022887336836981947,0.002439380538525781
"ex-earnings, exit after 10",1,0.01977817407243179,-0.0003498490099606392,0.0005090081005234007
"ex-earnings, exit after 10",2,0.026116426248314534,0.0005866087458614144,0.0018026820015168113
"ex-earnings, exit after 10",3,0.00957980285316183,-0.00034210676935660453,0.0006511999765452485
"ex-earnings, exit after 10",4,0.004994129793802405,-0.0009503519608230479,0.00003184034508945704
"ex-earnings, exit after 10",5,0.019956321909644664,0.000012687575389429491,0.0006664030816664988
"ex-earnings, exit after 10",6,0.01454408461118757,-0.000173537047589835,0.0007782976218903588
"ex-earnings, exit after 10",7,0.008157403409371076,-0.0005760237000114591,0.0006211686134949704
"ex-earnings, exit after 10",8,0.0177746655567873,0.0001171982147403577,0.0006095408198765976
"ex-earnings, exit after 10",9,0.010819544090360029,0.00007173050635263471,-0.00040842831075467504
"ex-earnings, exit after 10",10,0.010847829392130554,0.0008911344885625824,0.0009925221872751553
"iv vs own 12m mean, exit after 10",1,0.011972325147717653,-0.00033082705940052894,0.0005367071635869587
"iv vs own 12m mean, exit after 10",2,0.02219473275540676,0.000513059483873028,0.000909602255261117
"iv vs own 12m mean, exit after 10",3,0.02874819715392709,0.0007502115927922323,0.0018253547809247114
"iv vs own 12m mean, exit after 10",4,0.01047229690006312,-0.0010424709254527697,0.0005288605907661448
"iv vs own 12m mean, exit after 10",5,0.020407614418658373,0.0002371777602501726,0.001276280932509716
"iv vs own 12m mean, exit after 10",6,0.012772998176706763,-0.00014654478246106767,0.0008904967686181736
"iv vs own 12m mean, exit after 10",7,0.02370036267688242,-0.00008273139414384589,0.0006239851750387557
"iv vs own 12m mean, exit after 10",8,0.030783851494662094,0.0007334566714520215,0.0012783646777243592
"iv vs own 12m mean, exit after 10",9,0.00015312325172861632,-0.000875274362510895,-0.0004665908463284062
"iv vs own 12m mean, exit after 10",10,0.012201506880788564,-0.00022191328802144384,0.0004414636936141046
"combined, ex-earnings, exit after 10",1,0.026224819594060308,0.001188803175967787,0.0013221726945960926
"combined, ex-earnings, exit after 10",2,0.007673957984177039,-0.000867825486369975,0.00037044030096861384
"combined, ex-earnings, exit after 10",3,0.0068941697879925145,0.00029295963423526806,0.0010106744040516377
"combined, ex-earnings, exit after 10",4,0.022165433641420478,0.00018946594054080276,0.001537076471835632
"combined, ex-earnings, exit after 10",5,-0.0023421355228617578,-0.0012040460560691893,0.00002449334116430203
"combined, ex-earnings, exit after 10",6,0.034277392547254676,0.000746629866775662,0.0013500383391871994
"combined, ex-earnings, exit after 10",7,0.02302371907855563,0.0005052789728437983,0.0006281257756173839
"combined, ex-earnings, exit after 10",8,0.005780607492923203,-0.0005867069908012597,-0.0005862892369942852
"combined, ex-earnings, exit after 10",9,0.021000597755565578,0.0004122511670651959,0.0013481587756663611
"combined, ex-earnings, exit after 10",10,0.001285798925935468,-0.0005495130351939874,0.0001414980357154463
