decile,signal,iv,earnings_in_hold,stock,straddle,call_hedged,put_hedged,daily_hedged,sort
1,-0.06814168218766341,0.41913412266383077,0.6289865177804219,0.008551499722170463,0.015239263934246133,-0.0017623968204476433,0.00037328967315653747,0.0013011893643561328,slope: 90d ATM IV - 30d ATM IV
2,-0.030466543889258773,0.3407772880542914,0.4828590652753111,0.007098240558311629,0.030316891514884876,0.00021555830597863094,0.0006916472665965123,0.014387614942001857,slope: 90d ATM IV - 30d ATM IV
3,-0.01766245907875587,0.3139194812644336,0.3661476544449642,0.0065127634215707084,0.02348573229392181,0.0007768464850844569,0.0009490138993874631,0.012837714473310384,slope: 90d ATM IV - 30d ATM IV
4,-0.00933785969185453,0.3007070526817109,0.32104632788446885,0.006014476988904465,0.02175630461124158,-0.0007222397726032434,-0.0006466520223513845,0.005294000764965391,slope: 90d ATM IV - 30d ATM IV
5,-0.0025644107152976276,0.2861829429154764,0.30407124603843405,0.007614757485007599,0.0455897176159445,0.0014260674537782967,0.0015967624557828252,0.017664714118692956,slope: 90d ATM IV - 30d ATM IV
6,0.003361585996693925,0.27946431688939016,0.2938886950823113,0.0068404615637026305,0.05111003183263118,0.0013803600580469637,0.0013473200946403187,0.012202811600793083,slope: 90d ATM IV - 30d ATM IV
7,0.009654316560841066,0.27188288293182605,0.2565014102048598,0.005834625444315976,0.055972773634580676,0.0009499981460514923,0.001273645161204075,0.014706663253549036,slope: 90d ATM IV - 30d ATM IV
8,0.01737516747639508,0.27212813650881085,0.16041196714930436,0.00563035061021407,0.0535026733864662,0.0013656103260061953,0.0022519987138900034,0.02064589968728111,slope: 90d ATM IV - 30d ATM IV
9,0.027346923181718136,0.27670205291147626,0.07171166288144161,0.00666783224556048,0.039427253017555765,0.0009717264904116131,0.0017253635687518255,0.008232416401688081,slope: 90d ATM IV - 30d ATM IV
10,0.05132272049626446,0.3067472778874255,0.02731745117318911,0.007657890178292244,0.025702578285154515,0.0006995781635951727,0.0024670253648387814,0.01194432414423597,slope: 90d ATM IV - 30d ATM IV
1,-0.051263543424495066,0.39016807529382835,0.0,0.002108332468466087,0.01841266393881836,-0.001368903849738391,-0.00042069004143838906,0.013228661628659077,"slope, no earnings in hold"
2,-0.017612543406735195,0.31522712859583396,0.0,0.006432633101939599,0.037037060262889845,0.0015937067456951426,0.0017549129223531827,0.006919467357199215,"slope, no earnings in hold"
3,-0.005733367502729739,0.3002211379502235,0.0,0.003785473706294673,0.006204830513998793,-0.0017689179274596638,-0.0011588120018805972,0.0021333798457724242,"slope, no earnings in hold"
4,0.002603337924003489,0.28543016842645,0.0,0.005579340546981312,0.03733731849622164,-0.000058544897401267365,0.00035097456428154623,0.01659506014052533,"slope, no earnings in hold"
5,0.008877456942911742,0.27121352227637846,0.0,0.006862656771414841,0.06605788026270336,0.0024043281999320404,0.0024674883003550333,0.022049368418857882,"slope, no earnings in hold"
6,0.014165706771764423,0.26816157661237516,0.0,0.0057258519064653625,0.02980244451252686,-0.00015186777759362732,0.0005651130403720193,0.008192583671581571,"slope, no earnings in hold"
7,0.019718758258631917,0.2681468425666881,0.0,0.006667157305219539,0.03782238222817167,-0.0001510507917215335,0.0006628648918386354,0.016961609367284042,"slope, no earnings in hold"
8,0.026532271338850735,0.2733501237881635,0.0,0.008664633765762047,0.03980913774283753,0.0010055546311396265,0.0023731870545628743,0.022762907257411404,"slope, no earnings in hold"
9,0.03570926584286918,0.2815831186049615,0.0,0.007118819271785972,0.05533625989918213,0.0017243289472521387,0.0029124158451967544,0.007091451987207568,"slope, no earnings in hold"
10,0.05856930417578757,0.31482932838698474,0.0,0.006750371988613249,0.032817536879381076,0.0009012705826162408,0.0027837971086707063,0.01741782282842603,"slope, no earnings in hold"
1,-0.15871081816637722,0.37640840926262537,0.6556476791192593,0.006913599434787771,0.012868942249260138,-0.0011994788201128382,0.00010637807308163706,-0.0004208523891767814,slope relative: (long - short) / short
2,-0.08184073239006004,0.3399157092365342,0.4828161763535084,0.009128594136921114,0.033549444433640954,0.0009139577170281812,0.0013823053563019113,0.01683353908486191,slope relative: (long - short) / short
3,-0.045984260010063525,0.3289428623341494,0.3717372074246758,0.004655471745366053,0.029251313348880138,-0.00024036606671919839,-0.00028004595219498354,0.01053559495032451,slope relative: (long - short) / short
4,-0.020086396503321405,0.3175545383442596,0.3155630991807149,0.007780439881723434,0.017949445344727546,-0.0012464121163329282,-0.0003316050542133815,0.009792591066234143,slope relative: (long - short) / short
5,0.0020749841466410827,0.30591191355073166,0.29340958667915684,0.007095035728388702,0.04887961500560449,0.0017064824023251056,0.002174123321807367,0.020167168704354702,slope relative: (long - short) / short
6,0.023505897866916543,0.297657637619439,0.29036941283019885,0.006550741711948004,0.04614584446243963,0.0008690221004876665,0.0009380648138729204,0.010644648535632621,slope relative: (long - short) / short
7,0.046624633662098514,0.2916737579683394,0.2500669230133265,0.009666167872777059,0.037189954879963794,0.0009745727467206325,0.0010332245839793203,0.015996618756456724,slope relative: (long - short) / short
8,0.07597528789578709,0.2779206596569767,0.15898045323159346,0.004684813851317172,0.07149674676360526,0.0024982798060617603,0.0032364858356669934,0.014115634461821128,slope relative: (long - short) / short
9,0.11549205873510994,0.26896407566422365,0.06687208558571324,0.004044066201729088,0.03959071451941111,0.00042356614578644444,0.001920553254137487,0.01402145549035548,slope relative: (long - short) / short
10,0.20233130439376387,0.26245660821264805,0.028049084204599672,0.007716510334983047,0.024223652606579833,0.0003990400349867346,0.0016154294269271926,0.007471636379809695,slope relative: (long - short) / short
