date,gross_pnl,gross_vega,window,book
2020-12-24,-1740.287793361851,18300.526837628866,3m_skip1m,rank
2020-12-28,-3453.601668478706,20000.0,3m_skip1m,rank
2020-12-29,-3085.322634926952,19693.341002803943,3m_skip1m,rank
2020-12-30,2744.2431658672886,19569.482262292106,3m_skip1m,rank
2020-12-31,-1561.2440920995793,19348.441378460117,3m_skip1m,rank
2021-01-04,-4405.494984869924,20000.0,3m_skip1m,rank
2021-01-05,4227.9271471787115,19870.142888085717,3m_skip1m,rank
2021-01-06,18303.290903799298,19141.051633121162,3m_skip1m,rank
2021-01-07,-3746.299616298012,18845.96103392882,3m_skip1m,rank
2021-01-08,-1755.1938077764441,18663.661881229287,3m_skip1m,rank
2021-01-11,730.7907593116495,19432.00428319476,3m_skip1m,rank
2021-01-12,6285.623619703936,19187.113882049915,3m_skip1m,rank
2021-01-13,-218.9683912412765,19203.588576412512,3m_skip1m,rank
2021-01-14,-2030.284882716147,19284.392325040622,3m_skip1m,rank
2021-01-15,1271.2326492275824,19382.436372594755,3m_skip1m,rank
2021-01-19,-6599.465427231955,20000.0,3m_skip1m,rank
2021-01-20,-7473.153462581294,19764.373333837797,3m_skip1m,rank
2021-01-21,-3205.901237144978,19681.89524180906,3m_skip1m,rank
2021-01-22,-3367.3761729331927,19336.728013075368,3m_skip1m,rank
2021-01-25,4047.349522089617,20000.0,3m_skip1m,rank
2021-01-26,9971.45366304281,19912.85847473551,3m_skip1m,rank
2021-01-27,-7281.427784012079,20334.601354218008,3m_skip1m,rank
2021-01-28,-16131.02468278209,20172.901152082544,3m_skip1m,rank
2021-01-29,7199.835411555022,19130.586284667235,3m_skip1m,rank
2021-02-01,-14686.842028434708,20000.0,3m_skip1m,rank
2021-02-02,-792.2929737259768,19685.884845469795,3m_skip1m,rank
2021-02-03,1927.954176962968,19410.83821824808,3m_skip1m,rank
2021-02-04,2276.5134786068224,18908.18310133143,3m_skip1m,rank
2021-02-05,896.1770371451438,18611.596379510273,3m_skip1m,rank
2021-02-08,6240.470911488356,20000.0,3m_skip1m,rank
2021-02-09,1518.9030683016292,19666.969155177598,3m_skip1m,rank
2021-02-10,400.2023031895004,19539.92471051261,3m_skip1m,rank
2021-02-11,-1956.019260712658,19101.976664649726,3m_skip1m,rank
2021-02-12,3538.366184181059,18574.00135911301,3m_skip1m,rank
2021-02-16,45.150109352400904,20000.0,3m_skip1m,rank
2021-02-17,877.2385821877036,20359.32772754095,3m_skip1m,rank
2021-02-18,298.7589661192541,20069.564413838063,3m_skip1m,rank
2021-02-19,4882.181326636527,19954.322934973403,3m_skip1m,rank
2021-02-22,6667.233547275347,20000.0,3m_skip1m,rank
2021-02-23,763.4497564664526,20527.739415979904,3m_skip1m,rank
2021-02-24,7514.145445581945,21334.715439348278,3m_skip1m,rank
2021-02-25,6640.889946009529,21954.129129772824,3m_skip1m,rank
2021-02-26,-4101.823382475119,21473.043858154877,3m_skip1m,rank
2021-03-01,2417.3462202699716,20000.0,3m_skip1m,rank
2021-03-02,3232.2499489556685,19698.66076806482,3m_skip1m,rank
2021-03-03,-1609.954721048305,19249.82681254835,3m_skip1m,rank
2021-03-04,2059.6781446140776,18760.131782642562,3m_skip1m,rank
2021-03-05,-46.39718495689719,18793.98259029423,3m_skip1m,rank
2021-03-08,5163.843900335171,20000.0,3m_skip1m,rank
2021-03-09,-2175.960140910703,20494.031362637263,3m_skip1m,rank
2021-03-10,2184.4310579576018,19801.757435794538,3m_skip1m,rank
2021-03-11,3015.5101345679136,19749.844106846682,3m_skip1m,rank
2021-03-12,3148.8159955678066,19014.576736135197,3m_skip1m,rank
2021-03-15,-6630.451724753352,20000.0,3m_skip1m,rank
2021-03-16,3085.596630931737,19744.86443485533,3m_skip1m,rank
2021-03-17,-1002.9071149984674,19040.31601944557,3m_skip1m,rank
2021-03-18,1036.3330291376244,19262.244385843354,3m_skip1m,rank
2021-03-19,11207.882695408021,18981.06697609214,3m_skip1m,rank
2021-03-22,-4776.373523594934,20000.0,3m_skip1m,rank
2021-03-23,-10009.256065289488,21098.237024102207,3m_skip1m,rank
2021-03-24,7744.91757746872,20884.41954218711,3m_skip1m,rank
2021-03-25,-870.5003431942847,19572.21446171396,3m_skip1m,rank
2021-03-26,9343.945506481743,19678.763574184846,3m_skip1m,rank
2021-03-29,2347.200055503065,20000.0,3m_skip1m,rank
2021-03-30,1611.5217474333133,19747.95691865337,3m_skip1m,rank
2021-03-31,1024.2543602108492,19460.77756734304,3m_skip1m,rank
2021-04-01,9237.996934591902,19170.107777389454,3m_skip1m,rank
2021-04-05,-753.8605645902405,20000.0,3m_skip1m,rank
2021-04-06,-4937.731647483023,19797.637164469772,3m_skip1m,rank
2021-04-07,1567.0065886509215,19524.125908328704,3m_skip1m,rank
2021-04-08,2148.8026892940247,18965.855517257754,3m_skip1m,rank
2021-04-09,-2785.709170512817,18397.04047605738,3m_skip1m,rank
2021-04-12,-754.9970056742355,20000.0,3m_skip1m,rank
2021-04-13,-3258.931155125504,19746.957788661246,3m_skip1m,rank
2021-04-14,666.7871697801475,19571.854180283688,3m_skip1m,rank
2021-04-15,5062.320583773347,18837.609079512007,3m_skip1m,rank
2021-04-16,-3235.4897623681336,18123.449912702123,3m_skip1m,rank
2021-04-19,603.9240351250562,20000.0,3m_skip1m,rank
2021-04-20,-1810.3745024781326,19891.919835092995,3m_skip1m,rank
2021-04-21,1034.8410494037291,18916.782721665346,3m_skip1m,rank
2021-04-22,2664.3984635039587,19039.16970331307,3m_skip1m,rank
2021-04-23,25.723885672896238,18029.01531693808,3m_skip1m,rank
2021-04-26,854.2581819171579,20000.0,3m_skip1m,rank
2021-04-27,6621.222606622111,19633.491566059733,3m_skip1m,rank
2021-04-28,-8482.460871206287,18831.485256699063,3m_skip1m,rank
2021-04-29,5256.419706174309,17926.38559072252,3m_skip1m,rank
2021-04-30,6230.0002448506,18135.281400636057,3m_skip1m,rank
2021-05-03,-11257.044295396001,20000.0,3m_skip1m,rank
2021-05-04,3229.576119977415,19449.23367983018,3m_skip1m,rank
2021-05-05,-1495.1735070864481,19076.71573753997,3m_skip1m,rank
2021-05-06,530.9685822323889,18664.957152732844,3m_skip1m,rank
2021-05-07,4506.450436472319,18344.21896243719,3m_skip1m,rank
2021-05-10,2680.49012300674,20000.0,3m_skip1m,rank
2021-05-11,4287.513144700209,20146.9933190437,3m_skip1m,rank
2021-05-12,-1323.6656227758974,19409.7730638169,3m_skip1m,rank
2021-05-13,-1379.3528473611998,19229.879672907908,3m_skip1m,rank
2021-05-14,2439.3170867387985,19167.883719331796,3m_skip1m,rank
2021-05-17,3188.4880139419583,20000.0,3m_skip1m,rank
2021-05-18,-2869.859351663259,19755.44663698962,3m_skip1m,rank
2021-05-19,973.8392026991145,19763.942422031396,3m_skip1m,rank
2021-05-20,7555.598612736199,19397.52509454907,3m_skip1m,rank
2021-05-21,-3655.8571304134407,19154.59179451656,3m_skip1m,rank
2021-05-24,5501.402908751732,20000.0,3m_skip1m,rank
2021-05-25,-5797.136428489266,19892.573891835425,3m_skip1m,rank
2021-05-26,-2342.9721257633005,19260.1125713483,3m_skip1m,rank
2021-05-27,-3583.9466261802763,18984.300393118025,3m_skip1m,rank
2021-05-28,480.92797190601976,18395.532383533457,3m_skip1m,rank
2021-06-01,-8678.043118174635,20000.0,3m_skip1m,rank
2021-06-02,-4257.516708893384,19698.537915613335,3m_skip1m,rank
2021-06-03,-4550.016277124447,19360.325829632147,3m_skip1m,rank
2021-06-04,4424.584382179245,19053.791731057085,3m_skip1m,rank
2021-06-07,5000.141845702048,20000.0,3m_skip1m,rank
2021-06-08,483.44177521849343,19666.649600220608,3m_skip1m,rank
2021-06-09,-973.8519911357121,19124.05220226557,3m_skip1m,rank
2021-06-10,2768.7112858956307,18344.02918854955,3m_skip1m,rank
2021-06-11,-452.4231121349168,17903.30735232132,3m_skip1m,rank
2021-06-14,3743.3624202271226,20000.0,3m_skip1m,rank
2021-06-15,9655.17823806363,20153.02932795569,3m_skip1m,rank
2021-06-16,-25.973115944811845,19605.80654957628,3m_skip1m,rank
2021-06-17,-2355.247062360495,18740.259127504447,3m_skip1m,rank
2021-06-18,2061.5846632938187,18562.148953655735,3m_skip1m,rank
2021-06-21,-2556.172459790522,20000.0,3m_skip1m,rank
2021-06-22,4283.164974141299,19252.996273403947,3m_skip1m,rank
2021-06-23,-3068.672942023912,18466.131805139223,3m_skip1m,rank
