date,gross_pnl,gross_vega,window,book
2020-12-01,6982.345443110829,19711.514310227834,12m_noskip,mvo
2020-12-02,44430.67804226604,19422.681518015102,12m_noskip,mvo
2020-12-03,-11041.117111219644,19620.508588537035,12m_noskip,mvo
2020-12-04,-6419.638455951333,19324.37631901716,12m_noskip,mvo
2020-12-07,7739.39664484354,19999.999960293208,12m_noskip,mvo
2020-12-08,-10436.392966345646,20792.364480942688,12m_noskip,mvo
2020-12-09,7144.949367454517,20335.1864994739,12m_noskip,mvo
2020-12-10,-9287.907930137219,20027.24593829289,12m_noskip,mvo
2020-12-11,-2460.274632604831,19920.371346781525,12m_noskip,mvo
2020-12-14,11504.027885070896,19999.999855577636,12m_noskip,mvo
2020-12-15,1159.950711737223,19630.025860403315,12m_noskip,mvo
2020-12-16,16141.885495704531,19439.434046076065,12m_noskip,mvo
2020-12-17,4557.221668111659,18902.595597131105,12m_noskip,mvo
2020-12-18,6936.533377647945,18218.083132487693,12m_noskip,mvo
2020-12-21,-4949.875245557402,19999.999888524428,12m_noskip,mvo
2020-12-22,-9229.498530139375,19549.011540141888,12m_noskip,mvo
2020-12-23,-4538.820871942318,19027.57939298409,12m_noskip,mvo
2020-12-24,4893.78069945904,18396.04355601163,12m_noskip,mvo
2020-12-28,5524.017635845942,19999.999972391102,12m_noskip,mvo
2020-12-29,228.7090120866414,19707.885619388413,12m_noskip,mvo
2020-12-30,-4741.997832483682,19599.607142694484,12m_noskip,mvo
2020-12-31,7663.426691445078,19350.710908906283,12m_noskip,mvo
2021-01-04,-4785.444455192646,19999.99975851763,12m_noskip,mvo
2021-01-05,-3237.2455340793013,19774.44720028996,12m_noskip,mvo
2021-01-06,31280.861089343187,19696.78196008985,12m_noskip,mvo
2021-01-07,-3374.986267413899,19681.569329163787,12m_noskip,mvo
2021-01-08,140.46577467185742,19568.65538478951,12m_noskip,mvo
2021-01-11,-1991.9365589879033,18082.08905247506,12m_noskip,mvo
2021-01-12,-4045.3549252997996,17744.94833355665,12m_noskip,mvo
2021-01-13,-3118.5765876623577,17454.063800375574,12m_noskip,mvo
2021-01-14,-8100.442174091436,17527.677699315685,12m_noskip,mvo
2021-01-15,3474.0201010508117,17563.823808817815,12m_noskip,mvo
2021-01-19,1981.8189024567027,19999.999939717403,12m_noskip,mvo
2021-01-20,-10729.215671097432,19556.536224538046,12m_noskip,mvo
2021-01-21,-23027.7016911315,20140.34780719901,12m_noskip,mvo
2021-01-22,-2227.250702844138,19664.43332806634,12m_noskip,mvo
2021-01-25,-9151.899635397169,19999.999958417033,12m_noskip,mvo
2021-01-26,2307.8309411196465,19185.654395271,12m_noskip,mvo
2021-01-27,-20356.322664956737,19676.729069693352,12m_noskip,mvo
2021-01-28,1482.2842839673283,19335.491125345507,12m_noskip,mvo
2021-01-29,-478.00597430657916,18718.439578094436,12m_noskip,mvo
2021-02-01,25921.431535932556,19999.999847364932,12m_noskip,mvo
2021-02-02,-2372.3819848360945,19781.721747882682,12m_noskip,mvo
2021-02-03,-2117.5321562894974,19482.699702334663,12m_noskip,mvo
2021-02-04,4356.310630863381,18874.311725900152,12m_noskip,mvo
2021-02-05,2822.961827666409,18800.16232886574,12m_noskip,mvo
2021-02-08,-29.53490083972422,19999.9998858859,12m_noskip,mvo
2021-02-09,-7699.526248050191,19933.664154605987,12m_noskip,mvo
2021-02-10,6317.4700539171345,19680.78567337574,12m_noskip,mvo
2021-02-11,-10044.855313015196,19445.17530494777,12m_noskip,mvo
2021-02-12,81.34881950261985,18709.598860984526,12m_noskip,mvo
2021-02-16,-7716.765096414439,19999.99992364553,12m_noskip,mvo
2021-02-17,14742.130366111769,20823.923288325917,12m_noskip,mvo
2021-02-18,-7888.852349535021,20495.78901320501,12m_noskip,mvo
2021-02-19,17558.330354797683,23825.598669704184,12m_noskip,mvo
2021-02-22,21574.39630074686,19999.999950719073,12m_noskip,mvo
2021-02-23,1195.5780418625382,19352.319384760685,12m_noskip,mvo
2021-02-24,-7731.038204705161,19467.92345668431,12m_noskip,mvo
2021-02-25,12123.082746854805,20794.671042592927,12m_noskip,mvo
2021-02-26,7472.8637787257,20572.226882261246,12m_noskip,mvo
2021-03-01,-4269.549965909975,19999.999953156217,12m_noskip,mvo
2021-03-02,-560.6236260305219,19613.383833612195,12m_noskip,mvo
2021-03-03,3543.351411816334,19394.363548691614,12m_noskip,mvo
2021-03-04,-5475.987040864291,19194.020177349834,12m_noskip,mvo
2021-03-05,-15834.023647605405,18726.529843226515,12m_noskip,mvo
2021-03-08,9806.796831817572,19999.999884094992,12m_noskip,mvo
2021-03-09,11431.698751214442,19991.29454879738,12m_noskip,mvo
2021-03-10,-3207.0608769577034,19223.971049824173,12m_noskip,mvo
2021-03-11,11447.50323175647,18718.483378129178,12m_noskip,mvo
2021-03-12,1466.728458440352,17742.507267996418,12m_noskip,mvo
2021-03-15,-12158.393959426587,19999.999817069947,12m_noskip,mvo
2021-03-16,9657.212910036338,19707.13308291557,12m_noskip,mvo
2021-03-17,-1628.1028999489372,18888.4041382763,12m_noskip,mvo
2021-03-18,-16016.10115357326,19883.239899402673,12m_noskip,mvo
2021-03-19,12008.285070865637,19324.214679516095,12m_noskip,mvo
2021-03-22,-2841.9853480324177,19999.999975405306,12m_noskip,mvo
2021-03-23,-3793.1162027160794,20293.724235308076,12m_noskip,mvo
2021-03-24,6151.355394157327,19863.917263977633,12m_noskip,mvo
2021-03-25,3955.6945680256094,19448.588089653156,12m_noskip,mvo
2021-03-26,13654.931892900897,22712.3988973238,12m_noskip,mvo
2021-03-29,15252.420628171223,19999.999923524407,12m_noskip,mvo
2021-03-30,13713.347059929334,19779.729516718297,12m_noskip,mvo
2021-03-31,4776.861214036427,19631.840121369012,12m_noskip,mvo
2021-04-01,4648.41181097291,19032.230954161365,12m_noskip,mvo
2021-04-05,-2541.3713989056373,19999.99991318989,12m_noskip,mvo
2021-04-06,-3607.437640041625,19456.842303188,12m_noskip,mvo
2021-04-07,3254.4143106020833,19274.25907519139,12m_noskip,mvo
2021-04-08,-8568.06388496259,18910.166024164926,12m_noskip,mvo
2021-04-09,13295.314868962412,18199.259854743872,12m_noskip,mvo
2021-04-12,-1664.4900485657715,19999.999750975174,12m_noskip,mvo
2021-04-13,-2538.7616872193917,19732.57146134349,12m_noskip,mvo
2021-04-14,-837.9250952359049,19131.643543433478,12m_noskip,mvo
2021-04-15,13468.06880709339,18991.153121256906,12m_noskip,mvo
2021-04-16,4526.253225992436,18337.309813026408,12m_noskip,mvo
2021-04-19,4134.866669251382,19999.99983155063,12m_noskip,mvo
2021-04-20,-23518.516465903584,20105.75872594897,12m_noskip,mvo
2021-04-21,-1464.6921306493439,19611.06619233114,12m_noskip,mvo
2021-04-22,9823.791277784438,20043.814085426253,12m_noskip,mvo
2021-04-23,535.5476447126028,19064.289568790922,12m_noskip,mvo
2021-04-26,16256.780807218402,19999.999802444552,12m_noskip,mvo
2021-04-27,8546.232827137188,19281.74875396279,12m_noskip,mvo
2021-04-28,-10005.544549974686,18084.213232509104,12m_noskip,mvo
2021-04-29,2223.706763147209,18137.887540086856,12m_noskip,mvo
2021-04-30,-6640.576725025929,17979.353944037928,12m_noskip,mvo
2021-05-03,-4821.787732536985,19999.999988649637,12m_noskip,mvo
2021-05-04,454.2835854003451,19451.40100636249,12m_noskip,mvo
2021-05-05,-2341.483896889144,19216.684596293202,12m_noskip,mvo
2021-05-06,5140.069307141145,18715.19403212799,12m_noskip,mvo
2021-05-07,17300.27445485015,18770.512539287356,12m_noskip,mvo
2021-05-10,-5415.04176289533,19999.999638757447,12m_noskip,mvo
2021-05-11,10036.926195161917,19710.885650397213,12m_noskip,mvo
2021-05-12,-11867.567124097173,18833.178816666194,12m_noskip,mvo
2021-05-13,-1154.379265804085,18796.364030982408,12m_noskip,mvo
2021-05-14,-1083.5940257009072,18805.42430151876,12m_noskip,mvo
2021-05-17,4563.121791636625,19999.99989545767,12m_noskip,mvo
2021-05-18,-1298.0054757477055,19942.029120735246,12m_noskip,mvo
2021-05-19,6142.328522152239,19961.873910106588,12m_noskip,mvo
2021-05-20,-45.49648636169705,20017.07523500893,12m_noskip,mvo
2021-05-21,2019.7823137138328,19085.70345243273,12m_noskip,mvo
2021-05-24,-5764.74438954659,19999.999705623144,12m_noskip,mvo
2021-05-25,-1362.6029036322489,19438.156000599247,12m_noskip,mvo
2021-05-26,-4436.887476874832,18616.092477117836,12m_noskip,mvo
2021-05-27,-1388.3430927719978,18054.181210874278,12m_noskip,mvo
2021-05-28,-1810.5930548447861,17920.636682371507,12m_noskip,mvo
2021-06-01,-3686.259076801046,19999.999838769847,12m_noskip,mvo
2021-06-02,-4644.754777360046,19540.423682861667,12m_noskip,mvo
2021-06-03,2203.165504999315,19013.987826495053,12m_noskip,mvo
2021-06-04,7057.724844372761,18655.989295552663,12m_noskip,mvo
2021-06-07,-4710.728126600637,19999.999836841296,12m_noskip,mvo
2021-06-08,9762.328681188805,19590.20317423927,12m_noskip,mvo
2021-06-09,-7007.038589703619,18978.596327544416,12m_noskip,mvo
2021-06-10,4184.966754247468,17975.146014583912,12m_noskip,mvo
2021-06-11,8351.725316083563,18023.57169232651,12m_noskip,mvo
2021-06-14,11638.731422961648,19999.999789969854,12m_noskip,mvo
2021-06-15,-635.047169048891,20822.039877351683,12m_noskip,mvo
2021-06-16,4551.33674026372,20961.78223381483,12m_noskip,mvo
2021-06-17,31727.836117059996,22392.08793224749,12m_noskip,mvo
2021-06-18,-4348.917535492964,22570.7851993792,12m_noskip,mvo
2021-06-21,5430.946997299697,19999.9998411211,12m_noskip,mvo
2021-06-22,301.2393532417331,19062.909979218457,12m_noskip,mvo
2021-06-23,-2870.7676371403236,18408.517306925914,12m_noskip,mvo
2021-06-24,-29.730223845848922,18234.623710867207,12m_noskip,mvo
2021-06-25,1075.5630565784181,17952.387624860105,12m_noskip,mvo
2021-06-28,-22931.36023485372,19999.999953354512,12m_noskip,mvo
2021-06-29,-4154.264615993752,19712.830978716127,12m_noskip,mvo
2021-06-30,2500.326386882816,19475.901279614794,12m_noskip,mvo
2021-07-01,14517.54322171403,19993.065409105544,12m_noskip,mvo
2021-07-02,3394.3887830674516,19777.400820454495,12m_noskip,mvo
2021-07-06,-4531.119539643259,19999.999660975107,12m_noskip,mvo
2021-07-07,-6204.064428643534,19343.193450389117,12m_noskip,mvo
2021-07-08,8773.589097400174,18615.910181746625,12m_noskip,mvo
2021-07-09,28283.547858234313,19111.421819659932,12m_noskip,mvo
2021-07-12,5504.005915426665,19999.9998522334,12m_noskip,mvo
2021-07-13,-19798.996991818778,19072.652228472907,12m_noskip,mvo
2021-07-14,3467.1626944959025,18945.306992966132,12m_noskip,mvo
2021-07-15,1016.8922115769252,18264.894113785256,12m_noskip,mvo
2021-07-16,-10218.736433959117,17169.362777279737,12m_noskip,mvo
2021-07-19,-5126.3004460002885,19999.99978728877,12m_noskip,mvo
2021-07-20,-7839.444508274227,20914.10531587615,12m_noskip,mvo
2021-07-21,-3885.393559870789,20892.681464931422,12m_noskip,mvo
2021-07-22,12630.43877462005,20120.17694368374,12m_noskip,mvo
2021-07-23,-16839.021865346742,19557.549472169252,12m_noskip,mvo
2021-07-26,-10117.898934291454,19999.999787987785,12m_noskip,mvo
2021-07-27,-8316.819914692562,19953.111969582937,12m_noskip,mvo
2021-07-28,16511.84840454496,19256.276459392182,12m_noskip,mvo
2021-07-29,11583.702065914431,21341.92824652989,12m_noskip,mvo
2021-07-30,-11595.147905790716,20595.00427502313,12m_noskip,mvo
2021-08-02,7991.0449852256625,19999.999963119353,12m_noskip,mvo
2021-08-03,-6830.751624722294,19646.51411708071,12m_noskip,mvo
2021-08-04,-2324.1195762908114,19103.861965865857,12m_noskip,mvo
2021-08-05,-431.10965874476693,19165.87457509864,12m_noskip,mvo
2021-08-06,8511.21270714404,18680.433503187072,12m_noskip,mvo
2021-08-09,-4089.5172912762423,19999.999909854538,12m_noskip,mvo
2021-08-10,11004.658784370371,20909.229706445236,12m_noskip,mvo
2021-08-11,-34805.697705927014,19901.09262558956,12m_noskip,mvo
2021-08-12,-2115.0006428256556,19843.333670032785,12m_noskip,mvo
2021-08-13,-131.41946731588027,19638.709443869964,12m_noskip,mvo
2021-08-16,14403.918214182575,19999.999928717785,12m_noskip,mvo
2021-08-17,11820.402895521922,19596.2397000065,12m_noskip,mvo
2021-08-18,-8118.243370848917,19196.619922286714,12m_noskip,mvo
2021-08-19,-1351.530657027585,18823.165158523345,12m_noskip,mvo
2021-08-20,11823.889699442228,18771.38978496771,12m_noskip,mvo
2021-08-23,-1142.674576439256,19999.9992950064,12m_noskip,mvo
2021-08-24,-9842.494884963311,19771.254180662683,12m_noskip,mvo
2021-08-25,9628.012093261661,19216.994307558994,12m_noskip,mvo
2021-08-26,-16199.655026461412,18748.98482580937,12m_noskip,mvo
2021-08-27,32141.481396416228,18082.661423291414,12m_noskip,mvo
2021-08-30,-18562.23280093714,19999.999915995166,12m_noskip,mvo
2021-08-31,7441.329201481648,19804.781786564126,12m_noskip,mvo
2021-09-01,666.6094430275813,19640.738232688276,12m_noskip,mvo
2021-09-02,-6586.834909913021,19010.369600554,12m_noskip,mvo
2021-09-03,4420.583199709735,18733.679519601166,12m_noskip,mvo
2021-09-07,-5253.809485220661,19999.99970767135,12m_noskip,mvo
2021-09-08,8914.767441676055,19581.874074501728,12m_noskip,mvo
2021-09-09,-14534.886913444569,19512.024754065733,12m_noskip,mvo
2021-09-10,-4997.020514732114,18933.045036264328,12m_noskip,mvo
2021-09-13,14190.296488338565,19999.9990870698,12m_noskip,mvo
2021-09-14,-18222.83728162547,19246.847024148512,12m_noskip,mvo
2021-09-15,22118.352892906234,18827.390886341764,12m_noskip,mvo
2021-09-16,-3478.64944497579,18752.458338842665,12m_noskip,mvo
2021-09-17,9582.716722044315,18077.968360898412,12m_noskip,mvo
2021-09-20,-6172.744037510284,19999.99967228443,12m_noskip,mvo
2021-09-21,6668.030051995111,19068.783120135904,12m_noskip,mvo
2021-09-22,2992.795837383133,18584.590023571185,12m_noskip,mvo
2021-09-23,16075.675246778592,17573.210243952042,12m_noskip,mvo
2021-09-24,-25141.341271250454,16186.802748925084,12m_noskip,mvo
2021-09-27,13174.01904827212,19999.999956717696,12m_noskip,mvo
2021-09-28,5436.529404446344,19441.48494162675,12m_noskip,mvo
2021-09-29,-3843.759870484134,19310.462096180425,12m_noskip,mvo
2021-09-30,-9410.9688628871,18599.696984892147,12m_noskip,mvo
2021-10-01,-8923.384106749858,18790.073869111988,12m_noskip,mvo
2021-10-04,2002.7016069925276,19999.999731371343,12m_noskip,mvo
2021-10-05,2720.373819815976,19973.245185489897,12m_noskip,mvo
2021-10-06,6243.331119340256,19467.405819716365,12m_noskip,mvo
2021-10-07,-1368.0583869557006,19392.866136856286,12m_noskip,mvo
2021-10-08,9620.12111595057,18913.331366584312,12m_noskip,mvo
2021-10-11,52.047814242753546,19999.999481036662,12m_noskip,mvo
2021-10-12,6536.190721646209,19710.927361426624,12m_noskip,mvo
2021-10-13,16571.42926060486,19193.783253562182,12m_noskip,mvo
2021-10-14,3991.5028333925457,18769.362060246174,12m_noskip,mvo
2021-10-15,1989.2865155677289,18410.08461591698,12m_noskip,mvo
2021-10-18,-11121.358235339652,19999.999840593366,12m_noskip,mvo
2021-10-19,-37008.86617801502,19331.4498252075,12m_noskip,mvo
2021-10-20,44575.37644048541,18383.888986081187,12m_noskip,mvo
2021-10-21,-4785.86333515968,18191.393368903035,12m_noskip,mvo
2021-10-22,-7272.825873262114,17244.40102855426,12m_noskip,mvo
2021-10-25,-5756.4694235046145,19999.99963480485,12m_noskip,mvo
2021-10-26,3512.986663860153,20183.68838356603,12m_noskip,mvo
2021-10-27,-8871.582984339084,20272.284080287558,12m_noskip,mvo
2021-10-28,10092.725843465963,19227.891997945582,12m_noskip,mvo
2021-10-29,-9859.135479910385,18424.764851860706,12m_noskip,mvo
2021-11-01,-2205.774426816381,19999.9999472904,12m_noskip,mvo
2021-11-02,-20757.966032324275,19381.034196421642,12m_noskip,mvo
2021-11-03,2177.008215408641,19095.850064314083,12m_noskip,mvo
2021-11-04,-11653.775353715026,18469.742982992382,12m_noskip,mvo
2021-11-05,-20375.183888668533,17785.13574514456,12m_noskip,mvo
2021-11-08,2993.1397124349323,19999.99990873014,12m_noskip,mvo
2021-11-09,-1578.5683546997934,19850.07342471116,12m_noskip,mvo
2021-11-10,222.6407809329229,19585.357267551393,12m_noskip,mvo
2021-11-11,31846.47763333422,19458.58093028663,12m_noskip,mvo
2021-11-12,-22396.44267755577,19132.98896227137,12m_noskip,mvo
2021-11-15,-5641.651826450035,19999.999885964167,12m_noskip,mvo
2021-11-16,-11033.833654967017,21385.226346653322,12m_noskip,mvo
2021-11-17,1621.68553369193,20963.90492084418,12m_noskip,mvo
