19:25:42 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
19:25:42 level_book reference paths: 1067053 rows (0s)
19:25:43 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/index_greeks_2017/SPX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:25:43 level_book surface: 1067345 rows (1s)
19:25:45 level_book HAR: 1046279 forecasts, last fit [{'date': datetime.date(2025, 10, 1), 'rows': 1043953, 'const': -1.131449256807854, 'residual_var': 0.5294040664610805, 'b_rv_1': 0.025852336886258424, 'b_rv_5': 0.19588718583422726, 'b_rv_22': 0.8056671009823344}] (3s)
19:25:46 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
20:11:23 voltium.backtester 2021-06-24  positions=75  day pnl=-5115  cum pnl=-3708651
20:12:06 voltium.backtester 2021-07-09  positions=73  day pnl=1587  cum pnl=-3736125
20:12:49 voltium.backtester 2021-07-23  positions=73  day pnl=502  cum pnl=-3718430
20:13:31 voltium.backtester 2021-08-06  positions=71  day pnl=-4717  cum pnl=-3745314
20:14:14 voltium.backtester 2021-08-20  positions=71  day pnl=1539  cum pnl=-3781093
20:14:56 voltium.backtester 2021-09-03  positions=73  day pnl=-711  cum pnl=-3792736
20:15:39 voltium.backtester 2021-09-20  positions=73  day pnl=-8776  cum pnl=-3819894
20:16:23 voltium.backtester 2021-10-04  positions=73  day pnl=2276  cum pnl=-3838956
20:17:07 voltium.backtester 2021-10-18  positions=74  day pnl=652  cum pnl=-3846080
20:17:50 voltium.backtester 2021-11-01  positions=73  day pnl=-26759  cum pnl=-3886433
20:18:34 voltium.backtester 2021-11-15  positions=73  day pnl=-251  cum pnl=-3861369
20:19:16 voltium.backtester 2021-11-30  positions=68  day pnl=-3652  cum pnl=-3881320
20:19:58 voltium.backtester 2021-12-14  positions=69  day pnl=-3387  cum pnl=-3873466
20:20:40 voltium.backtester 2021-12-29  positions=70  day pnl=2054  cum pnl=-3902088
20:20:49 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2022/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
20:21:22 voltium.backtester 2022-01-12  positions=72  day pnl=-4396  cum pnl=-3941295
20:22:03 voltium.backtester 2022-01-27  positions=61  day pnl=7028  cum pnl=-3995916
20:22:43 voltium.backtester 2022-02-10  positions=61  day pnl=6010  cum pnl=-4016709
20:23:24 voltium.backtester 2022-02-25  positions=61  day pnl=-7023  cum pnl=-4048448
20:24:06 voltium.backtester 2022-03-11  positions=47  day pnl=-1403  cum pnl=-4112300
20:24:47 voltium.backtester 2022-03-25  positions=44  day pnl=-2  cum pnl=-4135332
20:25:28 voltium.backtester 2022-04-08  positions=46  day pnl=847  cum pnl=-4161385
20:26:10 voltium.backtester 2022-04-25  positions=47  day pnl=20878  cum pnl=-4170115
20:26:51 voltium.backtester 2022-05-09  positions=50  day pnl=6316  cum pnl=-4181769
20:27:31 voltium.backtester 2022-05-23  positions=48  day pnl=576  cum pnl=-4190932
20:28:11 voltium.backtester 2022-06-07  positions=51  day pnl=5693  cum pnl=-4217040
20:28:51 voltium.backtester 2022-06-22  positions=50  day pnl=-197  cum pnl=-4248928
20:29:31 voltium.backtester 2022-07-07  positions=51  day pnl=3167  cum pnl=-4287033
20:30:12 voltium.backtester 2022-07-21  positions=52  day pnl=-3640  cum pnl=-4108593
20:30:52 voltium.backtester 2022-08-04  positions=53  day pnl=2963  cum pnl=-4139981
20:31:34 voltium.backtester 2022-08-18  positions=58  day pnl=9324  cum pnl=-4119263
20:32:14 voltium.backtester 2022-09-01  positions=59  day pnl=-755  cum pnl=-4170155
20:32:56 voltium.backtester 2022-09-16  positions=59  day pnl=-3695  cum pnl=-4178411
20:33:37 voltium.backtester 2022-09-30  positions=59  day pnl=-3244  cum pnl=-4203676
20:34:18 voltium.backtester 2022-10-14  positions=62  day pnl=-9917  cum pnl=-4248782
20:35:00 voltium.backtester 2022-10-28  positions=63  day pnl=1202  cum pnl=-4240561
20:35:41 voltium.backtester 2022-11-11  positions=58  day pnl=-11135  cum pnl=-4276689
20:36:23 voltium.backtester 2022-11-28  positions=58  day pnl=-10321  cum pnl=-4303461
20:37:03 voltium.backtester 2022-12-12  positions=64  day pnl=-1388  cum pnl=-4313131
20:37:45 voltium.backtester 2022-12-27  positions=72  day pnl=642  cum pnl=-4296385
20:37:57 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
20:38:28 voltium.backtester 2023-01-11  positions=70  day pnl=-1992  cum pnl=-4323649
20:39:11 voltium.backtester 2023-01-26  positions=63  day pnl=-2444  cum pnl=-4361246
20:39:54 voltium.backtester 2023-02-09  positions=68  day pnl=-13  cum pnl=-4477126
20:40:36 voltium.backtester 2023-02-24  positions=63  day pnl=7189  cum pnl=-4496062
20:41:20 voltium.backtester 2023-03-10  positions=56  day pnl=-22100  cum pnl=-4568732
20:42:05 voltium.backtester 2023-03-24  positions=50  day pnl=-7296  cum pnl=-4629010
