16:00:36 level_book 533 symbols, history from 2023-10-23, forward to 2025-10-08
16:00:36 level_book reference paths: 250402 rows (0s)
16:00:37 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMCR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:37 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AME.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMGN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/AMTM.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMZN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ANET.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ANSS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AON.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AOS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/APA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
16:00:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/APD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
