15:42:36 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
15:42:37 level_book reference paths: 1067053 rows (1s)
15:42:57 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/APC.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:57 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/APD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:57 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/APH.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:42:57 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/APO.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:58 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks/APP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:58 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/APTV.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:58 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ARE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:58 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ARNC.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:59 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2019/ATO.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:42:59 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ATVI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:59 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AVB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:00 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AVGO.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:00 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AVY.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:01 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AWK.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:01 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AXON.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:01 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AXP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:01 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AYI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:01 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AZO.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:02 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:03 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BAC.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:03 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2022/BALL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:43:03 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BAX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:04 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BBBY.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:04 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2021/BBWI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:04 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BBY.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:04 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BCR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:43:04 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/BDX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
