horizon,target,symbol,origins,qlike_RV,rmse_RV,qlike_ARCH,rmse_ARCH,qlike_GARCH,rmse_GARCH,qlike_IV,rmse_IV,qlike_MEAN,rmse_MEAN,t_dm_iv_vs_rv,premium_points,premium_ratio,mean_iv,best_qlike,best_rmse
5,target_rv,STLD,105,0.5188172792523637,0.13503897068902537,0.3122654860765964,0.13193054121524195,0.32393877509948193,0.13438584583784194,0.2617785530777665,0.11282239550165767,0.23458747904106994,0.09566568705789434,-2.7151938172043644,6.912316795920007,1.2509824226798176,34.45335621260523,MEAN,MEAN
5,target_rv,STT,105,1.9623142796422839,0.1600133463888239,0.5833641301026611,0.14357622043002363,0.5811620203988581,0.14410349650643642,0.49141128139091245,0.1297233886773234,0.6982331998858378,0.12099663292572678,-1.3104267538198175,6.77953999588517,1.3353103943898692,26.998239175256618,IV,MEAN
5,target_rv,STX,125,0.6430299182703612,0.2714338208784685,0.42895498387121983,0.2443767188220001,0.4264818535946539,0.2361160808680905,0.26663741179042655,0.20071778761509113,0.708750256326174,0.2593983882414546,-3.165630849568888,1.349007479945895,1.0268574174191654,51.577495904274265,IV,IV
5,target_rv,STZ,125,0.9464436145402574,0.14031121244868652,0.38745189257336704,0.13779758659887884,0.3378086087650903,0.10782589525636471,0.403843721770476,0.13666938165580358,0.4063551753482071,0.11264784490488652,-2.241225664517494,7.462612416559165,1.2877290410908588,33.39886267571401,GARCH,GARCH
5,target_rv,SW,87,4.324455074256504,0.3199177216666093,0.8205487603698354,0.24772543776617637,0.7949577499576017,0.25010726431508173,0.6035023767041928,0.2064468599745371,1.047554651409268,0.2237996811533163,-1.3848213236187652,5.041897824207486,1.150076163366967,38.63749162866129,IV,IV
5,target_rv,SWK,101,1.0316424532623425,0.1947340050335356,0.4273497485887084,0.19113934647613623,0.4105149505326315,0.1807506467747461,0.28343864952731695,0.13281207702997916,0.3810831225449945,0.13895508861764722,-2.364718036350025,5.547692845091008,1.166001013302028,38.96732526020982,IV,IV
5,target_rv,SWKS,105,1.0459882939339928,0.15967733047039484,0.7728577247587838,0.2751795688826604,0.9144648903848956,0.3241872649458,0.49271377518073706,0.17517957555524175,0.6693303157851641,0.1508538952514596,-1.4306336467024707,11.903636047971704,1.4062733665305263,41.20320877070714,IV,MEAN
5,target_rv,SYF,105,0.5574583119918658,0.10822645350681194,0.4306176594764966,0.14431195434431424,0.5656330818640095,0.18229589308045566,0.3599335062769756,0.12604843957567352,0.22820882779010224,0.07554717240985542,-1.3753863092582375,10.028232370816006,1.4410695726274048,32.76440143158092,MEAN,MEAN
5,target_rv,SYK,101,0.9046904084390698,0.09717433966147451,0.44398731617911696,0.0962588167343078,0.4467694818100277,0.09702412010387955,0.37710637090715604,0.08166719632586317,0.477609988003646,0.07915269576021355,-1.9502732145871382,4.698516712772944,1.2699413287197001,22.104212739600175,IV,MEAN
5,target_rv,SYY,105,0.49044410573516256,0.07341374774916333,0.27190816627306946,0.07240477699787472,0.27510679978265795,0.07312701358348828,0.19200362827026599,0.055556968171001045,0.20641014281323286,0.05354687071528418,-2.411656727215819,2.8110939896058755,1.1650667081663122,19.841142149126746,IV,MEAN
5,target_rv,T,125,0.6387483439747806,0.09542413380946216,0.4158896244474726,0.10161234245538847,0.3733706840970951,0.08683224603867616,0.34549323180664104,0.09064517504923397,0.33348461463483076,0.07275428037976442,-1.7210464854506309,6.464402302957599,1.3764203279291174,23.637763631559643,MEAN,MEAN
5,target_rv,TAP,99,1.1223005943379918,0.13641915269498264,0.3930960116292108,0.10913993224621273,0.5386289171401272,0.10815915299103905,0.37129307334199124,0.10897417064644961,0.483121793164413,0.10511046568360134,-2.2471172385209828,5.343296920536993,1.229004670852706,28.67599533511978,IV,MEAN
5,target_rv,TDG,103,4.450890075144306,0.22530208916476105,1.132070685604235,0.22185996232881708,1.257784614952695,0.25891888162783244,1.0667587660355033,0.19720520654002932,2.3544891539689474,0.1994038130304813,-1.2058957174764693,4.3213418797018655,1.205428981324614,25.357039237677785,IV,IV
5,target_rv,TDY,99,0.5605097500884813,0.09275041793590573,0.3013400788015967,0.08109139612032477,0.3018891691877063,0.0811953450269796,0.22934439096508732,0.0655225974268426,0.25222992751389905,0.05964252101162154,-2.091549527522132,4.028183362579933,1.2254214954437168,21.897745245535706,IV,MEAN
5,target_rv,TECH,89,0.7647657933599812,0.21634865029329148,0.40806904882371076,0.17871890295776025,0.3855412952783951,0.17288561668207453,0.38812475243082445,0.18649308665736938,0.4258626861252331,0.16832310110597423,-2.0736469661446018,8.995759435087617,1.2282333415488031,48.41050652699767,GARCH,MEAN
5,target_rv,TEL,103,3.459915781524507,0.25694532673996434,0.9929032003550036,0.2083567191599034,1.0404620860269975,0.20834912779914525,0.6661168126837371,0.16450377205460714,1.5099667567832724,0.1883716686002067,-1.3993748358844131,3.6235232557218633,1.1523342556997407,27.410183971510104,IV,IV
5,target_rv,TER,101,3.237516030573913,0.4845411832873415,0.9486828242424827,0.41173252069563515,0.7985782604329987,0.3841116500949745,0.6078298119905007,0.2917513262415817,1.487642221555736,0.3546145982440762,-1.8271847832278223,-2.353003949393615,0.9532557551795519,47.984828192977574,IV,IV
5,target_rv,TFC,118,1.685978739744939,0.1293068499356442,0.5961920249494694,0.13453348351093342,0.6530670139415516,0.14462923315685838,0.47325480275490545,0.11105913304035932,0.5786126637016875,0.10244220996254075,-1.4133065883941134,6.578951434964295,1.3541141987733367,25.15756663241756,IV,MEAN
5,target_rv,TGT,125,1.2826214666735485,0.16375048162285216,0.38675701100294657,0.13679288831174052,0.39383075744957685,0.13938340922649556,0.4155343458674492,0.16379202796514358,0.37873943455674847,0.11535471115488624,-2.0369991269616348,11.590820958282102,1.4305683287355329,38.51063875426661,MEAN,MEAN
5,target_rv,TJX,125,0.879238014947972,0.08298275302473004,0.333384690990672,0.06801646338206262,0.31989224846798603,0.06477332229698285,0.34426265885587476,0.07729569423281028,0.3167996695469371,0.05575936655624459,-2.859675798845568,5.537735184822291,1.3834801303323585,19.97847082351833,MEAN,MEAN
5,target_rv,TMO,125,1.188151901328047,0.22767493750394122,0.666453320275309,0.18890740957500846,0.6542813079328533,0.18584371148842568,0.45537365687281633,0.14978768507828671,0.7184883560377556,0.1758137369988899,-2.1357322678557917,4.237747454492833,1.1671663793690847,29.588224449250035,IV,IV
5,target_rv,TMUS,125,1.251651444110473,0.11988596445274254,0.5088225713645171,0.1317685355796438,0.5116947225099625,0.13143868567949232,0.37573773851094877,0.10060697329741149,0.40547758342750956,0.09066983635138187,-2.0484069439561945,5.670075818832772,1.2844177647996189,25.605806003715987,IV,MEAN
5,target_rv,TPL,105,1.3516081585895436,0.23375437889104173,0.34030272218454993,0.17893522576361062,0.35603390162695825,0.18369640634125983,0.2941496458061082,0.15736419118093561,0.43428853265962974,0.16618226066546876,-2.6807464858728305,2.597677781192489,1.065274599246285,42.393828369437344,IV,IV
5,target_rv,TPR,125,1.7920215005100484,0.35225186381432794,0.8292923327178396,0.33798948276563373,0.7976986800303364,0.2848956637028138,0.5606435791188559,0.23339707286597322,1.0159115364007685,0.2572227641291636,-2.498642810805805,5.173577522563374,1.1472261825701877,40.31391351610835,IV,IV
5,target_rv,TRGP,105,1.0989248833908865,0.15462918789030738,0.4468709336412725,0.15301617873197162,0.4434598719507781,0.15119167498270022,0.32800503520913304,0.11899667947022002,0.43902083102892614,0.11696085027606719,-2.202027955177103,5.217157107773683,1.199533672956615,31.363907330269004,IV,MEAN
