date,gross,net,costs,missing_marks
2022-04-12,0.0,0.0,0.0,0
2022-04-13,0.0,0.0,0.0,0
2022-04-14,0.0,0.0,0.0,0
2022-04-18,0.0,0.0,0.0,0
2022-04-19,0.0,0.0,0.0,0
2022-04-20,0.0,0.0,0.0,0
2022-04-21,0.0,0.0,0.0,0
2022-04-22,0.0,0.0,0.0,0
2022-04-25,0.0,0.0,0.0,0
2022-04-26,0.0,0.0,0.0,0
2022-04-27,0.0,0.0,0.0,0
2022-04-28,0.0,-622.0000000000017,622.0000000000017,0
2022-04-29,650.0,650.0,0.0,0
2022-05-02,1180.0000000000011,1180.0000000000011,0.0,0
2022-05-03,1815.0000000000005,1815.0000000000005,0.0,0
2022-05-04,-684.9999999999994,-684.9999999999994,0.0,0
2022-05-05,290.00000000000057,108.00000000000227,181.9999999999983,0
2022-05-06,0.0,0.0,0.0,0
2022-05-09,0.0,0.0,0.0,0
2022-05-10,0.0,0.0,0.0,0
2022-05-11,0.0,0.0,0.0,0
2022-05-12,0.0,-172.00000000000028,172.00000000000028,0
2022-05-13,590.0000000000034,590.0000000000034,0.0,0
2022-05-16,2275.0,2275.0,0.0,0
2022-05-17,-2520.000000000002,-2520.000000000002,0.0,0
2022-05-18,3505.000000000001,3505.000000000001,0.0,0
2022-05-19,1604.9999999999982,1487.9999999999984,116.99999999999986,0
2022-05-20,0.0,0.0,0.0,0
2022-05-23,0.0,0.0,0.0,0
2022-05-24,0.0,0.0,0.0,0
2022-05-25,0.0,0.0,0.0,0
2022-05-26,0.0,0.0,0.0,0
2022-05-27,0.0,0.0,0.0,0
2022-05-31,0.0,0.0,0.0,0
2022-06-01,0.0,0.0,0.0,0
2022-06-02,0.0,0.0,0.0,0
2022-06-03,0.0,0.0,0.0,0
2022-06-06,0.0,0.0,0.0,0
2022-06-07,0.0,0.0,0.0,0
2022-06-08,0.0,0.0,0.0,0
2022-06-09,0.0,0.0,0.0,0
2022-06-10,0.0,0.0,0.0,0
2022-06-13,0.0,0.0,0.0,0
2022-06-14,0.0,-116.99999999999915,116.99999999999915,0
2022-06-15,1100.0000000000027,1100.0000000000027,0.0,0
2022-06-16,289.9999999999977,289.9999999999977,0.0,0
2022-06-17,1495.0000000000018,1495.0000000000018,0.0,0
2022-06-21,1400.0,1400.0,0.0,0
2022-06-22,1184.9999999999995,1098.0,86.99999999999943,0
2022-06-23,0.0,0.0,0.0,0
2022-06-24,0.0,0.0,0.0,0
2022-06-27,0.0,0.0,0.0,0
2022-06-28,0.0,0.0,0.0,0
2022-06-29,0.0,0.0,0.0,0
2022-06-30,0.0,0.0,0.0,0
2022-07-01,0.0,0.0,0.0,0
2022-07-05,0.0,0.0,0.0,0
2022-07-06,0.0,0.0,0.0,0
2022-07-07,0.0,0.0,0.0,0
2022-07-08,0.0,0.0,0.0,0
2022-07-11,0.0,0.0,0.0,0
2022-07-12,0.0,0.0,0.0,0
2022-07-13,0.0,0.0,0.0,0
2022-07-14,0.0,0.0,0.0,0
2022-07-15,0.0,0.0,0.0,0
2022-07-18,0.0,-186.99999999999943,186.99999999999943,0
2022-07-19,-1559.9999999999995,-1559.9999999999995,0.0,0
2022-07-20,169.99999999999886,169.99999999999886,0.0,0
2022-07-21,-309.9999999999966,-309.9999999999966,0.0,0
2022-07-22,1949.9999999999973,1949.9999999999973,0.0,0
2022-07-25,684.9999999999994,492.99999999999955,191.99999999999986,0
2022-07-26,0.0,-91.99999999999986,91.99999999999986,0
2022-07-27,-294.99999999999886,-294.99999999999886,0.0,0
2022-07-28,-2905.000000000001,-2905.000000000001,0.0,0
2022-07-29,-1000.0,-1000.0,0.0,0
2022-08-01,325.00000000000284,325.00000000000284,0.0,0
2022-08-02,1289.9999999999977,1082.9999999999973,207.00000000000043,0
2022-08-03,0.0,-171.99999999999957,171.99999999999957,0
2022-08-04,765.0000000000034,765.0000000000034,0.0,0
2022-08-05,1014.9999999999977,1014.9999999999977,0.0,0
2022-08-08,534.9999999999994,534.9999999999994,0.0,0
2022-08-09,484.99999999999943,484.99999999999943,0.0,0
2022-08-10,-1779.9999999999982,-2031.9999999999986,252.00000000000054,0
2022-08-11,0.0,-102.0,102.0,0
2022-08-12,-939.9999999999977,-939.9999999999977,0.0,0
2022-08-15,-119.99999999999886,-119.99999999999886,0.0,0
2022-08-16,-330.00000000000114,-330.00000000000114,0.0,0
2022-08-17,1254.9999999999982,1254.9999999999982,0.0,0
2022-08-18,600.0000000000028,433.00000000000296,166.99999999999986,0
2022-08-19,0.0,-162.00000000000014,162.00000000000014,0
2022-08-22,-2800.0,-2800.0,0.0,0
2022-08-23,-720.0000000000017,-720.0000000000017,0.0,0
2022-08-24,1879.9999999999982,1879.9999999999982,0.0,0
2022-08-25,2415.0000000000036,2415.0000000000036,0.0,0
2022-08-26,-9685.000000000002,-9887.000000000002,202.0,0
2022-08-29,0.0,0.0,0.0,0
2022-08-30,0.0,0.0,0.0,0
2022-08-31,0.0,0.0,0.0,0
2022-09-01,0.0,0.0,0.0,0
2022-09-02,0.0,0.0,0.0,0
2022-09-06,0.0,0.0,0.0,0
2022-09-07,0.0,0.0,0.0,0
2022-09-08,0.0,0.0,0.0,0
2022-09-09,0.0,0.0,0.0,0
2022-09-12,0.0,0.0,0.0,0
2022-09-13,0.0,0.0,0.0,0
2022-09-14,0.0,0.0,0.0,0
2022-09-15,0.0,0.0,0.0,0
2022-09-16,0.0,0.0,0.0,0
2022-09-19,0.0,0.0,0.0,0
2022-09-20,0.0,0.0,0.0,0
2022-09-21,0.0,-102.0,102.0,0
2022-09-22,789.9999999999977,789.9999999999977,0.0,0
2022-09-23,-2144.999999999999,-2144.999999999999,0.0,0
2022-09-26,-2164.9999999999977,-2164.9999999999977,0.0,0
2022-09-27,649.9999999999943,649.9999999999943,0.0,0
2022-09-28,3820.000000000002,3658.0000000000023,161.99999999999943,0
2022-09-29,0.0,0.0,0.0,0
2022-09-30,0.0,0.0,0.0,0
2022-10-03,0.0,0.0,0.0,0
2022-10-04,0.0,0.0,0.0,0
2022-10-05,0.0,-112.00000000000014,112.00000000000014,0
2022-10-06,-419.99999999999886,-419.99999999999886,0.0,0
2022-10-07,-829.9999999999983,-829.9999999999983,0.0,0
2022-10-10,-585.0000000000051,-585.0000000000051,0.0,0
2022-10-11,-1074.9999999999973,-1074.9999999999973,0.0,0
2022-10-12,-550.0,-811.9999999999994,261.99999999999943,0
2022-10-13,0.0,-367.00000000000057,367.00000000000057,0
2022-10-14,2565.0000000000036,2565.0000000000036,0.0,0
2022-10-17,-1765.0000000000034,-1765.0000000000034,0.0,0
2022-10-18,-1914.9999999999977,-1914.9999999999977,0.0,0
2022-10-19,2584.9999999999995,2584.9999999999995,0.0,0
2022-10-20,2030.0000000000011,1683.000000000001,347.0000000000003,0
2022-10-21,0.0,-392.00000000000057,392.00000000000057,0
2022-10-24,-794.9999999999989,-794.9999999999989,0.0,0
2022-10-25,-1285.0000000000023,-1285.0000000000023,0.0,0
2022-10-26,780.0000000000011,780.0000000000011,0.0,0
2022-10-27,3595.000000000002,3595.000000000002,0.0,0
2022-10-28,-6704.999999999993,-7046.999999999994,342.00000000000057,0
2022-10-31,0.0,0.0,0.0,0
2022-11-01,0.0,0.0,0.0,0
2022-11-02,0.0,0.0,0.0,0
2022-11-03,0.0,0.0,0.0,0
2022-11-04,0.0,0.0,0.0,0
2022-11-07,0.0,0.0,0.0,0
2022-11-08,0.0,0.0,0.0,0
2022-11-09,0.0,0.0,0.0,0
2022-11-10,0.0,0.0,0.0,0
2022-11-11,0.0,0.0,0.0,0
2022-11-14,0.0,-247.00000000000028,247.00000000000028,0
2022-11-15,-105.00000000000114,-105.00000000000114,0.0,0
2022-11-16,1059.9999999999995,1059.9999999999995,0.0,0
2022-11-17,490.00000000000057,490.00000000000057,0.0,0
2022-11-18,964.9999999999977,964.9999999999977,0.0,0
2022-11-21,1370.0000000000018,1233.0000000000016,137.00000000000014,0
2022-11-22,0.0,0.0,0.0,0
2022-11-23,0.0,-147.00000000000028,147.00000000000028,0
2022-11-25,584.9999999999994,584.9999999999994,0.0,0
2022-11-28,130.00000000000114,130.00000000000114,0.0,0
2022-11-29,374.99999999999716,374.99999999999716,0.0,0
2022-11-30,-1744.9999999999989,-1744.9999999999989,0.0,0
2022-12-01,1315.0000000000005,1078.0000000000002,237.00000000000014,0
